property_type,bedRoom,bathroom,balcony,agePossession,sector,built_up_area,servant room,store room,furnishing_type,area_room_ratio,luxury_category,floor_category,price
1.0,4.0,4,2.0,0.0,39.0,1557.0,1,0,2,389.25,2.0,1.0,3.69
0.0,3.0,3,4.0,3.0,93.0,1780.0,0,0,0,513.3333333333334,0.0,0.0,1.5
1.0,3.0,5,3.0,0.0,76.0,600.0,0,0,0,200.0,1.0,2.0,0.75
1.0,2.0,3,2.0,1.0,107.0,1053.0,0,0,2,526.5,2.0,1.0,1.5
1.0,10.0,10,2.0,2.0,23.0,400.0,0,0,0,324.0,1.0,1.0,2.25
1.0,3.0,3,3.0,1.0,59.0,1800.0,1,0,2,466.6666666666667,1.0,2.0,2.25
0.0,2.0,2,4.0,4.0,104.0,1229.0,0,0,0,682.5,2.0,0.0,0.92
1.0,4.0,4,2.0,2.0,25.0,130.0,0,0,0,292.5,1.0,1.0,1.45
0.0,3.0,2,2.0,3.0,100.0,1261.0,0,0,0,420.3333333333333,1.0,0.0,0.85
0.0,2.0,2,2.0,4.0,98.0,796.0,0,0,0,358.0,1.0,1.0,0.5
0.0,3.0,4,2.0,3.0,92.0,1650.0,1,0,0,706.6666666666666,1.0,2.0,1.2
1.0,5.0,5,3.0,0.0,33.0,1800.0,1,0,2,360.0,2.0,1.0,6.25
0.0,3.0,3,4.0,0.0,63.0,2251.0,1,0,2,750.0,2.0,2.0,1.71
1.0,2.0,1,0.0,2.0,56.0,1100.0,0,0,0,550.0,1.0,1.0,0.55
1.0,8.0,7,4.0,0.0,50.0,2850.0,1,0,2,356.25,2.0,2.0,5.5
0.0,3.0,4,4.0,3.0,20.0,2350.0,1,0,0,896.6666666666666,0.0,2.0,2.78
0.0,2.0,3,2.0,1.0,96.0,1226.0,1,0,2,551.5,2.0,2.0,0.86
1.0,3.0,3,2.0,2.0,47.0,2250.0,0,0,0,750.0,1.0,1.0,3.2
0.0,3.0,3,3.0,1.0,85.0,1650.0,1,0,0,716.6666666666666,2.0,2.0,1.85
0.0,4.0,5,4.0,3.0,88.0,2570.0,1,0,1,748.75,0.0,2.0,3.5
0.0,3.0,2,2.0,0.0,84.0,1472.0,0,0,0,551.3333333333334,2.0,2.0,0.8
0.0,3.0,3,3.0,3.0,100.0,1692.0,0,0,2,507.6666666666667,2.0,2.0,0.8
0.0,3.0,3,3.0,0.0,61.0,1900.0,1,0,2,600.0,2.0,2.0,1.55
1.0,4.0,4,0.0,2.0,62.0,1500.0,0,0,0,375.0,1.0,1.0,2.8
0.0,3.0,2,1.0,0.0,11.0,833.0,0,0,0,250.0,1.0,1.0,0.42
0.0,4.0,4,4.0,3.0,91.0,1886.0,1,0,0,523.75,2.0,0.0,1.02
0.0,4.0,4,4.0,2.0,63.0,2000.0,0,0,2,450.0,2.0,2.0,1.99
1.0,4.0,4,4.0,3.0,32.0,1350.0,1,0,2,337.5,2.0,1.0,5.25
1.0,4.0,4,2.0,2.0,3.0,1935.0,1,1,0,483.75,1.0,1.0,5.75
0.0,2.0,3,1.0,3.0,75.0,1500.0,0,0,2,675.0,0.0,1.0,1.19
1.0,1.0,5,3.0,1.0,7.0,250.0,0,0,0,900.0,1.0,2.0,0.9
0.0,3.0,3,4.0,3.0,98.0,1557.0,0,0,0,566.6666666666666,2.0,2.0,1.13
1.0,3.0,2,1.0,2.0,76.0,900.0,0,0,0,300.0,1.0,1.0,0.45
0.0,2.0,2,3.0,3.0,8.0,1009.0,0,1,0,367.5,2.0,1.0,1.3
1.0,7.0,7,3.0,3.0,50.0,963.0,0,0,1,1238.142857142857,1.0,2.0,2.5
0.0,4.0,5,4.0,3.0,88.0,3780.0,1,0,2,1050.0,2.0,0.0,4.0
0.0,3.0,3,1.0,3.0,75.0,1384.0,0,0,0,512.6666666666666,2.0,0.0,1.36
0.0,3.0,3,3.0,0.0,55.0,2178.0,0,0,0,653.3333333333334,2.0,2.0,1.69
0.0,3.0,5,3.0,3.0,77.0,1523.0,1,0,0,650.0,1.0,2.0,1.62
0.0,3.0,3,3.0,1.0,20.0,2599.0,1,0,0,816.6666666666666,0.0,2.0,2.78
0.0,3.0,4,2.0,3.0,27.0,1661.0,1,0,0,615.0,1.0,2.0,1.2
1.0,7.0,2,0.0,0.0,37.0,1980.0,0,0,0,282.85714285714283,1.0,1.0,1.5
0.0,2.0,2,2.0,3.0,14.0,2060.0,0,0,0,1030.0,1.0,1.0,1.0
1.0,6.0,6,4.0,0.0,52.0,1845.0,0,1,2,307.5,2.0,2.0,4.5
0.0,3.0,3,2.0,3.0,75.0,1488.0,0,0,2,466.6666666666667,0.0,2.0,1.5
0.0,2.0,2,2.0,4.0,68.0,1244.0,0,0,0,560.0,2.0,2.0,1.7
1.0,5.0,5,3.0,0.0,57.0,3240.0,1,0,0,648.0,1.0,1.0,10.55
0.0,3.0,3,3.0,1.0,96.0,1764.0,0,0,0,653.3333333333334,2.0,2.0,1.6
0.0,2.0,2,3.0,3.0,13.0,1277.0,0,0,2,767.0,2.0,2.0,0.9
0.0,2.0,2,2.0,1.0,12.0,1539.0,0,0,0,692.5,2.0,2.0,1.05
0.0,3.0,4,2.0,3.0,73.0,2200.0,1,0,2,625.0,0.0,0.0,3.05
0.0,3.0,4,4.0,1.0,88.0,1890.0,1,0,1,700.0,0.0,0.0,2.26
1.0,4.0,5,3.0,0.0,54.0,3195.0,1,1,2,798.75,2.0,1.0,7.69
0.0,1.0,1,1.0,0.0,55.0,720.0,0,0,0,720.0,1.0,1.0,0.8
0.0,4.0,5,4.0,3.0,92.0,2531.0,0,0,2,703.0,2.0,2.0,2.1
0.0,4.0,4,2.0,1.0,65.0,2558.0,1,0,0,848.75,1.0,2.0,6.75
0.0,4.0,3,3.0,2.0,97.0,2007.0,1,0,0,451.5,1.0,1.0,1.25
0.0,2.0,2,4.0,3.0,92.0,1376.0,0,1,0,820.0,2.0,0.0,1.2
0.0,3.0,3,4.0,3.0,99.0,2578.0,0,0,1,773.3333333333334,1.0,1.0,1.8
0.0,1.0,1,2.0,2.0,53.0,599.0,0,0,0,539.0,2.0,2.0,0.65
0.0,3.0,3,4.0,3.0,15.0,1466.0,0,1,0,583.3333333333334,2.0,2.0,1.4
0.0,2.0,2,2.0,3.0,95.0,1300.0,0,0,0,625.0,0.0,2.0,0.92
0.0,3.0,3,4.0,3.0,88.0,1550.0,1,0,1,701.0,1.0,0.0,2.35
0.0,3.0,3,4.0,3.0,88.0,1570.0,1,0,1,701.0,1.0,2.0,2.2
0.0,3.0,3,3.0,3.0,43.0,1687.0,0,0,0,603.6666666666666,1.0,0.0,1.5
0.0,3.0,4,4.0,1.0,92.0,2167.0,0,1,0,802.6666666666666,2.0,2.0,1.77
1.0,4.0,4,4.0,0.0,93.0,2800.0,1,0,2,800.0,2.0,1.0,2.47
1.0,4.0,5,4.0,3.0,73.0,2259.0,0,1,2,564.75,2.0,1.0,5.46
0.0,1.0,1,0.0,4.0,70.0,693.0,0,0,0,693.0,1.0,2.0,0.7
0.0,3.0,3,2.0,1.0,76.0,1150.0,0,0,0,383.3333333333333,1.0,1.0,0.66
0.0,3.0,4,4.0,3.0,10.0,2055.0,1,0,0,571.6666666666666,2.0,2.0,2.6
0.0,2.0,2,1.0,1.0,93.0,1224.0,0,0,0,680.0,2.0,2.0,0.78
1.0,4.0,4,4.0,0.0,77.0,2610.0,1,1,0,652.5,2.0,2.0,4.6
1.0,4.0,4,4.0,3.0,100.0,5000.0,0,0,0,702.0,1.0,2.0,2.75
0.0,4.0,4,3.0,0.0,90.0,1964.0,1,0,0,400.0,2.0,0.0,1.25
1.0,4.0,4,4.0,1.0,15.0,6228.0,1,0,0,1557.0,2.0,1.0,6.75
0.0,3.0,4,4.0,3.0,88.0,2308.0,1,0,1,886.6666666666666,0.0,2.0,2.29
0.0,2.0,2,2.0,0.0,84.0,1224.0,0,0,0,612.0,1.0,2.0,0.7
0.0,1.0,1,2.0,3.0,88.0,444.0,0,0,0,400.0,1.0,2.0,0.38
0.0,3.0,4,4.0,3.0,14.0,1500.29,1,0,2,667.6666666666666,2.0,2.0,1.6
0.0,3.0,3,3.0,0.0,89.0,1230.0,0,0,2,353.0,2.0,2.0,0.86
0.0,3.0,4,3.0,0.0,71.0,2681.0,1,0,2,993.0,0.0,0.0,5.4
0.0,4.0,5,4.0,0.0,77.0,2108.0,1,0,2,600.0,2.0,2.0,2.1
0.0,3.0,4,4.0,2.0,98.0,1608.0,1,0,1,482.3333333333333,1.0,1.0,1.25
1.0,4.0,3,4.0,0.0,64.0,1665.0,1,1,0,416.25,0.0,1.0,3.3
0.0,3.0,5,3.0,3.0,77.0,1523.0,1,0,0,650.0,0.0,2.0,1.55
0.0,4.0,4,4.0,3.0,91.0,3091.0,1,0,0,858.5,2.0,0.0,2.2
0.0,3.0,3,3.0,3.0,8.0,1523.0,0,0,0,564.0,2.0,1.0,1.8
0.0,3.0,3,0.0,3.0,85.0,1815.0,0,0,0,605.0,1.0,0.0,1.65
1.0,2.0,1,1.0,0.0,47.0,500.0,0,0,0,250.0,1.0,2.0,0.65
0.0,4.0,3,4.0,3.0,97.0,1833.0,0,0,2,412.5,1.0,2.0,1.5
0.0,3.0,3,1.0,1.0,100.0,711.0,0,0,1,213.3333333333333,2.0,0.0,0.5
1.0,3.0,1,0.0,0.0,86.0,550.0,0,0,0,183.3333333333333,1.0,1.0,0.62
0.0,4.0,4,4.0,3.0,98.0,2726.0,1,0,0,681.75,2.0,0.0,1.88
0.0,3.0,4,4.0,3.0,8.0,1900.0,1,0,2,716.3333333333334,0.0,0.0,2.0
0.0,2.0,2,3.0,1.0,43.0,1100.0,0,0,0,655.0,1.0,2.0,0.71
1.0,4.0,4,4.0,0.0,28.0,2400.0,1,0,0,600.0,1.0,1.0,4.0
0.0,3.0,3,3.0,0.0,59.0,2115.0,1,0,0,783.3333333333334,1.0,2.0,1.85
0.0,4.0,4,4.0,3.0,98.0,2455.0,1,0,0,764.75,2.0,0.0,1.75
0.0,3.0,4,4.0,3.0,73.0,2490.0,1,0,2,899.3333333333334,2.0,0.0,3.65
0.0,3.0,3,3.0,3.0,85.0,1151.0,0,0,0,496.6666666666667,0.0,0.0,1.25
0.0,2.0,2,2.0,4.0,96.0,1226.0,0,0,0,551.5,1.0,2.0,1.01
0.0,3.0,3,2.0,0.0,71.0,4278.0,0,1,0,1283.3333333333333,2.0,0.0,7.0
0.0,4.0,3,3.0,2.0,25.0,1444.0,0,0,2,325.0,2.0,2.0,1.4
0.0,4.0,5,3.0,3.0,67.0,2598.0,1,0,2,702.25,1.0,0.0,3.6
0.0,3.0,3,3.0,3.0,85.0,1058.0,0,0,2,496.6666666666667,2.0,0.0,1.25
0.0,2.0,2,3.0,3.0,74.0,1356.0,0,0,0,753.5,2.0,0.0,1.32
1.0,3.0,2,0.0,2.0,7.0,1080.0,0,0,0,360.0,1.0,1.0,1.05
1.0,6.0,6,3.0,3.0,34.0,4518.0,1,0,2,753.0,2.0,1.0,19.0
0.0,4.0,4,3.0,3.0,15.0,2750.0,1,0,0,763.75,0.0,2.0,1.9
1.0,5.0,3,0.0,3.0,5.0,1300.0,0,0,0,260.0,1.0,1.0,0.95
0.0,3.0,4,3.0,3.0,44.0,1656.0,1,0,0,605.0,1.0,2.0,0.99
1.0,5.0,5,4.0,3.0,89.0,3240.0,1,0,2,648.0,2.0,1.0,7.5
0.0,2.0,2,3.0,1.0,74.0,1241.0,0,0,0,610.0,2.0,0.0,1.1
0.0,3.0,2,4.0,1.0,74.0,1357.0,0,0,0,502.6666666666667,1.0,2.0,1.45
0.0,3.0,3,3.0,3.0,91.0,1643.0,0,0,0,608.3333333333334,2.0,1.0,0.92
1.0,3.0,3,3.0,0.0,55.0,2000.0,1,1,0,650.0,1.0,1.0,4.05
0.0,3.0,3,3.0,3.0,91.0,1828.0,1,0,2,654.3333333333334,1.0,0.0,1.5
0.0,3.0,3,2.0,4.0,96.0,1581.0,0,0,0,474.3333333333333,2.0,2.0,1.16
0.0,3.0,3,3.0,3.0,8.0,1300.0,1,0,0,550.0,1.0,2.0,1.45
1.0,2.0,4,0.0,2.0,7.0,900.0,0,0,0,450.0,1.0,1.0,0.8
0.0,2.0,2,2.0,1.0,102.0,1256.0,0,0,0,565.0,2.0,0.0,0.55
0.0,2.0,2,2.0,3.0,99.0,1179.0,0,0,1,655.0,2.0,0.0,0.9
1.0,4.0,4,4.0,3.0,15.0,5400.0,1,0,0,1350.0,2.0,2.0,5.7
1.0,5.0,5,2.0,3.0,29.0,120.0,0,0,0,270.0,1.0,2.0,1.6
1.0,2.0,2,4.0,1.0,77.0,1319.0,1,0,0,593.5,0.0,2.0,0.9
0.0,3.0,4,4.0,3.0,8.0,1400.0,1,0,2,416.6666666666667,0.0,2.0,1.35
1.0,3.0,2,2.0,0.0,11.0,1200.0,0,0,0,400.0,1.0,1.0,0.7
0.0,3.0,3,4.0,3.0,14.0,1657.0,0,0,0,519.3333333333334,0.0,2.0,1.3
0.0,2.0,3,4.0,4.0,44.0,1292.0,0,0,0,717.5,2.0,0.0,0.7
0.0,3.0,4,2.0,1.0,89.0,1611.0,1,0,0,596.6666666666666,2.0,0.0,0.99
1.0,2.0,2,1.0,2.0,7.0,150.0,0,0,0,675.0,1.0,1.0,1.1
0.0,2.0,2,1.0,3.0,13.0,493.0,0,0,0,274.0,2.0,2.0,0.37
0.0,3.0,3,4.0,0.0,54.0,2187.0,1,0,2,810.0,2.0,2.0,1.86
0.0,4.0,5,4.0,0.0,54.0,4098.0,0,0,2,1138.25,2.0,0.0,4.25
0.0,3.0,3,3.0,1.0,71.0,1828.0,0,0,0,609.3333333333334,1.0,0.0,3.29
0.0,1.0,1,2.0,3.0,15.0,965.0,0,0,0,965.0,1.0,2.0,1.7
0.0,3.0,4,3.0,3.0,92.0,2167.0,1,0,0,802.6666666666666,1.0,2.0,2.0
0.0,2.0,2,3.0,3.0,85.0,1009.0,0,0,0,361.0,1.0,2.0,0.96
0.0,4.0,5,4.0,3.0,89.0,2535.0,0,0,0,633.75,2.0,1.0,1.75
0.0,2.0,3,3.0,3.0,14.0,978.23,1,0,2,367.0,2.0,1.0,0.87
0.0,3.0,3,4.0,2.0,63.0,1900.0,1,0,0,666.6666666666666,0.0,2.0,1.45
0.0,3.0,3,3.0,3.0,71.0,1833.0,1,0,2,550.0,2.0,1.0,2.0
1.0,1.0,1,2.0,1.0,56.0,540.0,0,0,0,540.0,1.0,1.0,0.3
0.0,3.0,3,3.0,3.0,98.0,1650.0,0,0,2,645.0,1.0,2.0,1.25
0.0,3.0,3,4.0,2.0,88.0,1989.0,0,0,0,596.6666666666666,2.0,2.0,1.35
