property_type,price,bedRoom,bathroom,balcony,agePossession,sector,built_up_area,servant room,store room,furnishing_type,luxury_category,floor_category
flat,1.2,2.0,2,3+,Relatively New,sector 85,1376.0,0,1,0,Medium,High Floor
flat,1.8,3.0,3,3+,Relatively New,sector 91,2578.0,0,0,1,Low,Low Floor
flat,0.65,1.0,1,2,Old Property,sector 47,599.0,0,0,0,Medium,Mid Floor
flat,1.4,3.0,3,3+,Relatively New,sector 109,1466.0,0,1,0,Medium,Mid Floor
flat,0.92,2.0,2,2,Relatively New,sector 88b,1300.0,0,0,0,High,Mid Floor
flat,2.35,3.0,3,3+,Relatively New,sector 81,1550.0,1,0,1,Low,High Floor
flat,2.2,3.0,3,3+,Relatively New,sector 81,1570.0,1,0,1,Low,Mid Floor
flat,1.5,3.0,3,3,Relatively New,sector 37,1687.0,0,0,0,Low,High Floor
flat,1.77,3.0,4,3+,New Property,sector 85,2167.0,0,1,0,Medium,Mid Floor
house,2.47,4.0,4,3+,Moderately Old,sector 86,2800.0,1,0,2,Medium,Low Floor
house,5.46,4.0,5,3+,Relatively New,sector 67,2259.0,0,1,2,Medium,Low Floor
flat,0.7,1.0,1,0,Under Construction,sector 63,693.0,0,0,0,Low,Mid Floor
flat,0.66,3.0,3,2,New Property,sector 7,1150.0,0,0,0,Low,Low Floor
flat,2.6,3.0,4,3+,Relatively New,sector 104,2055.0,1,0,0,Medium,Mid Floor
flat,0.78,2.0,2,1,New Property,sector 86,1224.0,0,0,0,Medium,Mid Floor
house,4.6,4.0,4,3+,Moderately Old,sector 70,2610.0,1,1,0,Medium,Mid Floor
house,2.75,4.0,4,3+,Relatively New,sector 92,5000.0,0,0,0,Low,Mid Floor
flat,1.25,4.0,4,3,Moderately Old,sector 83,1964.0,1,0,0,Medium,High Floor
house,6.75,4.0,4,3+,New Property,sector 109,6228.0,1,0,0,Medium,Low Floor
flat,2.29,3.0,4,3+,Relatively New,sector 81,2308.0,1,0,1,High,Mid Floor
flat,0.7,2.0,2,2,Moderately Old,sector 78,1224.0,0,0,0,Low,Mid Floor
flat,0.38,1.0,1,2,Relatively New,sector 81,444.0,0,0,0,Low,Mid Floor
flat,1.6,3.0,4,3+,Relatively New,sector 108,1500.29,1,0,2,Medium,Mid Floor
flat,0.86,3.0,3,3,Moderately Old,sector 82,1230.0,0,0,2,Medium,Mid Floor
flat,5.4,3.0,4,3,Moderately Old,sector 65,2681.0,1,0,2,High,High Floor
flat,2.1,4.0,5,3+,Moderately Old,sector 70,2108.0,1,0,2,Medium,Mid Floor
flat,1.25,3.0,4,3+,Old Property,sector 90,1608.0,1,0,1,Low,Low Floor
house,3.3,4.0,3,3+,Moderately Old,sector 57,1665.0,1,1,0,High,Low Floor
flat,1.55,3.0,5,3,Relatively New,sector 70,1523.0,1,0,0,High,Mid Floor
flat,2.2,4.0,4,3+,Relatively New,sector 84,3091.0,1,0,0,Medium,High Floor
flat,1.8,3.0,3,3,Relatively New,sector 102,1523.0,0,0,0,Medium,Low Floor
flat,1.65,3.0,3,0,Relatively New,sector 79,1815.0,0,0,0,Low,High Floor
house,0.65,2.0,1,1,Moderately Old,sector 4,500.0,0,0,0,Low,Mid Floor
flat,1.5,4.0,3,3+,Relatively New,sector 9,1833.0,0,0,2,Low,Mid Floor
flat,0.5,3.0,3,1,New Property,sector 92,711.0,0,0,1,Medium,High Floor
house,0.62,3.0,1,0,Moderately Old,sector 8,550.0,0,0,0,Low,Low Floor
flat,1.88,4.0,4,3+,Relatively New,sector 90,2726.0,1,0,0,Medium,High Floor
flat,2.0,3.0,4,3+,Relatively New,sector 102,1900.0,1,0,2,High,High Floor
flat,0.71,2.0,2,3,New Property,sector 37,1100.0,0,0,0,Low,Mid Floor
house,4.0,4.0,4,3+,Moderately Old,sector 2,2400.0,1,0,0,Low,Low Floor
flat,1.85,3.0,3,3,Moderately Old,sector 52,2115.0,1,0,0,Low,Mid Floor
flat,1.75,4.0,4,3+,Relatively New,sector 90,2455.0,1,0,0,Medium,High Floor
flat,3.65,3.0,4,3+,Relatively New,sector 67,2490.0,1,0,2,Medium,High Floor
flat,1.25,3.0,3,3,Relatively New,sector 79,1151.0,0,0,0,High,High Floor
flat,1.01,2.0,2,2,Under Construction,sector 89,1226.0,0,0,0,Low,Mid Floor
flat,7.0,3.0,3,2,Moderately Old,sector 65,4278.0,0,1,0,Medium,High Floor
flat,1.4,4.0,3,3,Old Property,sector 15,1444.0,0,0,2,Medium,Mid Floor
flat,3.6,4.0,5,3,Relatively New,sector 60,2598.0,1,0,2,Low,High Floor
flat,1.25,3.0,3,3,Relatively New,sector 79,1058.0,0,0,2,Medium,High Floor
flat,1.32,2.0,2,3,Relatively New,sector 68,1356.0,0,0,0,Medium,High Floor
house,1.05,3.0,2,0,Old Property,sector 10,1080.0,0,0,0,Low,Low Floor
house,19.0,6.0,6,3,Relatively New,sector 26,4518.0,1,0,2,Medium,Low Floor
flat,1.9,4.0,4,3,Relatively New,sector 109,2750.0,1,0,0,High,Mid Floor
house,0.95,5.0,3,0,Relatively New,laxmi garden,1300.0,0,0,0,Low,Low Floor
flat,0.99,3.0,4,3,Relatively New,sector 37c,1656.0,1,0,0,Low,Mid Floor
house,7.5,5.0,5,3+,Relatively New,sector 82,3240.0,1,0,2,Medium,Low Floor
flat,1.1,2.0,2,3,New Property,sector 68,1241.0,0,0,0,Medium,High Floor
flat,1.45,3.0,2,3+,New Property,sector 68,1357.0,0,0,0,Low,Mid Floor
flat,0.92,3.0,3,3,Relatively New,sector 84,1643.0,0,0,0,Medium,Low Floor
house,4.05,3.0,3,3,Moderately Old,sector 49,2000.0,1,1,0,Low,Low Floor
flat,1.5,3.0,3,3,Relatively New,sector 84,1828.0,1,0,2,Low,High Floor
flat,1.16,3.0,3,2,Under Construction,sector 89,1581.0,0,0,0,Medium,Mid Floor
flat,1.45,3.0,3,3,Relatively New,sector 102,1300.0,1,0,0,Low,Mid Floor
house,0.8,2.0,4,0,Old Property,sector 10,900.0,0,0,0,Low,Low Floor
flat,0.55,2.0,2,2,New Property,sector 95,1256.0,0,0,0,Medium,High Floor
flat,0.9,2.0,2,2,Relatively New,sector 91,1179.0,0,0,1,Medium,High Floor
house,5.7,4.0,4,3+,Relatively New,sector 109,5400.0,1,0,0,Medium,Mid Floor
house,1.6,5.0,5,2,Relatively New,sector 21,120.0,0,0,0,Low,Mid Floor
house,0.9,2.0,2,3+,New Property,sector 70,1319.0,1,0,0,High,Mid Floor
flat,1.35,3.0,4,3+,Relatively New,sector 102,1400.0,1,0,2,High,Mid Floor
house,0.7,3.0,2,2,Moderately Old,sector 105,1200.0,0,0,0,Low,Low Floor
flat,1.3,3.0,3,3+,Relatively New,sector 108,1657.0,0,0,0,High,Mid Floor
flat,0.7,2.0,3,3+,Under Construction,sector 37c,1292.0,0,0,0,Medium,High Floor
flat,0.99,3.0,4,2,New Property,sector 82,1611.0,1,0,0,Medium,High Floor
house,1.1,2.0,2,1,Old Property,sector 10,150.0,0,0,0,Low,Low Floor
flat,0.37,2.0,2,1,Relatively New,sector 107,493.0,0,0,0,Medium,Mid Floor
flat,1.86,3.0,3,3+,Moderately Old,sector 48,2187.0,1,0,2,Medium,Mid Floor
flat,4.25,4.0,5,3+,Moderately Old,sector 48,4098.0,0,0,2,Medium,High Floor
flat,3.29,3.0,3,3,New Property,sector 65,1828.0,0,0,0,Low,High Floor
flat,1.7,1.0,1,2,Relatively New,sector 109,965.0,0,0,0,Low,Mid Floor
flat,2.0,3.0,4,3,Relatively New,sector 85,2167.0,1,0,0,Low,Mid Floor
flat,0.96,2.0,2,3,Relatively New,sector 79,1009.0,0,0,0,Low,Mid Floor
flat,1.75,4.0,5,3+,Relatively New,sector 82,2535.0,0,0,0,Medium,Low Floor
flat,0.87,2.0,3,3,Relatively New,sector 108,978.23,1,0,2,Medium,Low Floor
flat,1.45,3.0,3,3+,Old Property,sector 56,1900.0,1,0,0,High,Mid Floor
flat,2.0,3.0,3,3,Relatively New,sector 65,1833.0,1,0,2,Medium,Low Floor
house,0.3,1.0,1,2,New Property,sector 5,540.0,0,0,0,Low,Low Floor
flat,1.25,3.0,3,3,Relatively New,sector 90,1650.0,0,0,2,Low,Mid Floor
flat,1.35,3.0,3,3+,Old Property,sector 81,1989.0,0,0,0,Medium,Mid Floor
flat,1.65,3.0,3,3,New Property,sector 88a,1643.0,0,0,0,Medium,High Floor
flat,0.88,3.0,3,1,Relatively New,sector 85,1337.0,0,0,0,Medium,Low Floor
flat,1.0,2.0,2,2,New Property,sector 77,1489.0,0,0,0,Medium,Mid Floor
flat,3.75,4.0,4,3,Relatively New,sector 60,2650.0,1,0,2,Low,High Floor
flat,1.7,5.0,5,2,Old Property,sector 14,2556.0,0,1,1,Medium,Low Floor
flat,2.9,3.0,4,2,New Property,sector 108,2003.0,0,0,0,Medium,Mid Floor
flat,1.65,3.0,4,3,New Property,sector 85,2167.0,0,0,0,Low,Mid Floor
flat,0.95,2.0,3,3,Relatively New,sector 99,1611.0,1,0,0,Low,Mid Floor
house,2.0,2.0,2,2,Old Property,sector 7,1440.0,0,0,0,Low,Low Floor
house,12.5,5.0,6,3,Relatively New,sector 109,4500.0,1,1,0,Medium,Mid Floor
flat,1.05,2.0,2,2,Relatively New,sector 47,1108.0,0,0,2,Low,Mid Floor
house,4.6,3.0,3,3+,Old Property,sector 55,2160.0,1,1,2,Low,Low Floor
house,7.0,5.0,5,2,Relatively New,sector 26,1783.0,1,0,0,Low,Mid Floor
flat,1.85,3.0,4,3+,New Property,sector 79,1935.0,1,0,0,Low,High Floor
flat,1.32,2.0,2,2,Relatively New,sector 104,1395.0,0,0,0,Medium,Mid Floor
flat,1.3,3.0,3,3,Relatively New,sector 79,1176.0,0,1,2,Medium,High Floor
flat,2.6,3.0,3,2,New Property,sector 108,1711.0,0,0,0,Low,High Floor
flat,2.2,3.0,3,1,Relatively New,sector 86,1737.0,0,0,1,Medium,Mid Floor
flat,0.5,3.0,3,2,Under Construction,sector 37,778.0,0,0,0,Low,Low Floor
flat,1.28,2.0,2,3,Relatively New,sector 102,1094.0,0,0,0,Low,Mid Floor
house,2.5,5.0,4,3,Old Property,sector 11,1850.0,0,1,0,Low,Low Floor
house,5.8,4.0,3,2,Relatively New,sector 26,1800.0,0,1,0,Low,Low Floor
flat,1.39,3.0,2,3,Old Property,sector 56,1750.0,1,0,2,Medium,Mid Floor
flat,1.55,3.0,3,3,Relatively New,sector 70,1600.0,1,0,0,Low,Mid Floor
flat,1.55,2.0,2,3+,Relatively New,sector 74,1300.0,0,0,0,Medium,High Floor
flat,1.58,2.0,2,2,New Property,sector 61,1278.0,0,0,0,Low,Mid Floor
flat,5.0,3.0,4,3+,Relatively New,sector 53,2500.0,1,0,2,Low,Mid Floor
flat,1.54,2.0,2,3+,Relatively New,sector 74,1200.0,0,0,0,Medium,High Floor
house,11.0,5.0,6,3+,New Property,sector 66,3240.0,1,1,2,High,Low Floor
flat,1.05,2.0,2,3,Relatively New,sector 103,1365.0,0,0,2,Medium,Low Floor
flat,2.6,3.0,3,3,Relatively New,sector 102,2338.0,1,1,0,Medium,Low Floor
house,4.75,7.0,7,3,Moderately Old,sector 48,2340.0,0,0,2,Low,Low Floor
flat,0.39,3.0,3,3+,Relatively New,sector 92,713.0,0,0,0,Medium,Mid Floor
flat,1.8,3.0,3,3,Relatively New,sector 70,1925.0,0,0,0,Medium,Mid Floor
flat,6.3,5.0,6,3+,Under Construction,sector 106,3787.0,0,0,2,Medium,Mid Floor
flat,2.4,3.0,2,3,Relatively New,sector 66,1700.0,1,0,2,High,Mid Floor
flat,2.25,3.0,4,3+,Relatively New,sector 81,2300.0,1,1,2,Medium,Mid Floor
flat,2.65,3.0,3,3+,New Property,sector 88a,1582.0,0,0,0,Medium,Mid Floor
flat,0.85,3.0,3,3+,Relatively New,sector 1,2070.0,1,0,0,Low,Mid Floor
flat,0.98,3.0,4,3,Relatively New,sector 37c,1656.0,1,0,0,Low,Mid Floor
flat,1.2,3.0,3,2,New Property,sector 89,1423.0,0,0,0,Low,Mid Floor
house,0.37,2.0,2,1,Moderately Old,sector 105,450.0,0,0,0,Low,Low Floor
house,0.66,3.0,2,1,Old Property,sector 6,612.0,0,0,0,Low,Low Floor
house,5.0,7.0,7,3,Moderately Old,sector 48,2340.0,0,0,2,Low,Low Floor
house,7.35,6.0,4,3+,Old Property,sector 45,2475.0,1,1,2,Medium,Mid Floor
flat,1.8,2.0,2,3,New Property,sector 65,1456.0,0,0,0,Medium,High Floor
flat,0.2,1.0,1,1,Relatively New,sector 95,407.0,0,0,0,Medium,Mid Floor
flat,2.35,3.0,3,3,Relatively New,sector 65,1485.0,1,0,2,High,Low Floor
flat,2.1,3.0,4,2,Relatively New,sector 66,1800.0,1,0,2,High,High Floor
flat,1.34,3.0,3,3+,Relatively New,sector 103,1556.0,0,0,0,Medium,High Floor
flat,0.75,2.0,2,1,Moderately Old,sector 78,1239.0,0,0,0,Low,Mid Floor
flat,3.25,4.0,4,3+,Moderately Old,sector 81,2478.0,1,0,0,Low,High Floor
house,11.29,5.0,5,3+,Moderately Old,sector 50,3240.0,0,0,0,Low,Low Floor
flat,2.0,3.0,3,3,Relatively New,sector 102,1667.0,0,0,0,Low,Mid Floor
house,0.9,2.0,4,0,Old Property,sector 12,675.0,0,0,0,Low,Low Floor
flat,14.0,4.0,5,3,Old Property,sector 24,6300.0,0,0,0,Low,Mid Floor
flat,0.8,2.0,3,2,Relatively New,sector 90,1350.0,0,0,0,Medium,Low Floor
flat,1.2,2.0,2,3,Relatively New,sector 85,1660.0,0,0,0,Low,High Floor
house,5.5,4.0,4,3,Moderately Old,sector 26,1800.0,1,0,0,Medium,Low Floor
flat,0.8,2.0,3,3,Under Construction,sector 89,1494.0,0,0,0,Medium,Mid Floor
flat,1.4,3.0,3,2,Moderately Old,sector 71,1958.0,0,0,2,Medium,Low Floor
flat,2.5,4.0,4,3+,Moderately Old,sector 43,2722.0,1,0,0,Low,Mid Floor
flat,0.8,2.0,2,3+,New Property,sector 68,1180.0,0,0,2,Low,High Floor
