property_type,price,bedRoom,bathroom,balcony,agePossession,sector,built_up_area,servant room,store room,furnishing_type,luxury_category,floor_category
flat,1.6,4.0,3,3+,Relatively New,sector 37,2000.0,0,0,2,Medium,Mid Floor
flat,1.9,3.0,3,3,New Property,sector 70,1755.0,1,1,0,Low,Mid Floor
flat,1.36,3.0,3,2,Relatively New,sector 69,1420.0,0,0,2,Low,High Floor
flat,2.0,4.0,4,2,Relatively New,sector 109,2367.0,1,0,0,Medium,High Floor
flat,1.38,3.0,3,1,Relatively New,sector 48,1611.0,0,0,0,Medium,Low Floor
flat,0.59,2.0,2,3,Under Construction,sector 99a,1127.0,0,0,0,Medium,Low Floor
flat,4.75,4.0,4,3+,Relatively New,sector 67,3200.0,1,1,2,High,Low Floor
flat,0.55,2.0,2,1,Moderately Old,sector 23,990.0,0,0,2,Low,Low Floor
house,2.5,4.0,4,2,Old Property,sector 2,1557.0,0,0,0,Low,Mid Floor
flat,1.08,2.0,2,3,New Property,sector 85,1200.0,1,1,2,High,Mid Floor
flat,1.25,3.0,4,3,Under Construction,sector 103,2012.0,1,0,0,Medium,High Floor
flat,3.55,3.0,5,3+,Old Property,sector 30,2367.0,1,0,2,Medium,High Floor
flat,2.45,3.0,3,2,Relatively New,sector 81,1800.0,1,0,2,High,Mid Floor
house,9.35,10.0,10,3+,Moderately Old,sector 41,7500.0,1,0,2,Medium,Mid Floor
house,7.42,4.0,4,3,Old Property,sector 50,3200.0,0,0,2,Medium,Low Floor
flat,2.55,3.0,3,3,Relatively New,sector 65,1650.0,1,0,0,Low,Mid Floor
flat,1.63,3.0,5,3,Relatively New,sector 70,1523.0,1,0,0,Low,High Floor
house,6.25,4.0,4,3+,Relatively New,sector 109,5400.0,1,0,0,Medium,Low Floor
flat,2.2,4.0,6,3,Relatively New,sector 85,3920.0,1,0,0,High,Mid Floor
flat,1.38,3.0,3,3,Relatively New,sector 83,1350.0,1,0,2,Low,Mid Floor
flat,2.6,3.0,3,2,New Property,sector 61,1766.0,0,0,0,Low,Low Floor
flat,3.32,3.0,4,3,New Property,sector 67,2011.0,1,0,2,High,Mid Floor
flat,0.36,1.0,1,1,Relatively New,sector 36a,406.0,0,0,0,Medium,Mid Floor
house,11.0,8.0,11,3+,Old Property,sector 24,5000.0,1,0,2,Low,Mid Floor
flat,1.95,3.0,3,3,Old Property,sector 49,1625.0,0,0,2,Medium,Low Floor
flat,0.88,2.0,2,3,Relatively New,sector 81,1220.0,0,0,2,Medium,Mid Floor
flat,1.4,3.0,3,3,Relatively New,sector 37,1711.0,0,0,2,Medium,Mid Floor
flat,0.53,2.0,2,2,Under Construction,sector 70,986.0,0,0,0,Low,Mid Floor
flat,2.03,3.0,4,3+,Relatively New,sector 79,2020.0,1,0,0,Medium,Mid Floor
flat,1.1,4.0,3,2,New Property,sector 92,1778.0,0,0,0,Low,High Floor
flat,1.0,4.0,4,3,Relatively New,sector 92,2093.0,0,0,0,Low,Mid Floor
flat,0.3,2.0,2,1,Relatively New,sector 107,543.0,0,0,0,Medium,Mid Floor
flat,6.0,4.0,3,3,Moderately Old,sector 50,3960.0,1,0,0,Low,Mid Floor
flat,1.71,3.0,3,3+,Relatively New,sector 37,2191.0,0,0,0,Low,Mid Floor
flat,1.1,2.0,2,3,New Property,sector 99a,1364.0,0,0,0,Medium,Mid Floor
flat,1.25,3.0,3,2,Relatively New,sector 70,1300.0,0,0,0,Low,Low Floor
house,3.5,2.0,5,3,Old Property,sector 17,1440.0,0,0,0,Low,Mid Floor
flat,4.85,3.0,4,3+,Moderately Old,sector 54,1607.0,1,0,1,High,Mid Floor
flat,0.92,3.0,3,3+,Moderately Old,sector 1a,1918.0,1,0,0,Low,Mid Floor
flat,1.75,3.0,3,3+,Relatively New,sector 77,1900.0,1,0,0,Medium,High Floor
flat,0.78,2.0,2,3,Moderately Old,sector 37c,1068.1,0,0,2,Medium,Low Floor
house,1.3,2.0,3,2,Old Property,sector 7,963.0,0,0,0,Low,Mid Floor
house,0.6,3.0,3,1,Relatively New,sector 9,558.0,0,0,0,Low,Low Floor
house,1.2,1.0,4,3+,Old Property,sector 47,535.0,0,0,0,Low,Mid Floor
flat,1.49,3.0,3,3,Relatively New,sector 37,1702.0,0,0,0,Low,High Floor
flat,2.35,3.0,3,3,Relatively New,sector 102,2338.0,1,0,2,High,High Floor
house,0.58,2.0,3,2,Relatively New,sector 3,1200.0,0,0,0,Low,Low Floor
flat,0.49,2.0,2,2,Relatively New,sector 84,1013.0,0,0,0,Medium,High Floor
house,5.9,4.0,5,2,Relatively New,sector 109,2430.0,1,0,2,Medium,Low Floor
house,0.46,2.0,3,3,Moderately Old,sector 14,630.0,0,0,0,Low,Mid Floor
house,3.5,9.0,9,3+,Relatively New,sector 9,2610.0,0,0,0,Low,Mid Floor
flat,2.5,4.0,5,3+,Relatively New,sector 102,2878.0,1,0,0,Medium,Mid Floor
flat,0.6,3.0,2,2,Relatively New,sector 107,750.0,0,0,0,Medium,Mid Floor
flat,1.75,3.0,5,3,New Property,sector 70,1523.0,1,0,0,Low,Mid Floor
flat,2.5,3.0,3,2,Relatively New,sector 81,1700.0,1,0,1,High,High Floor
house,8.0,4.0,4,3+,Old Property,sector 33,7000.0,1,1,0,Medium,Low Floor
house,0.7,1.0,1,0,Moderately Old,sector 110,900.0,0,0,0,Low,Low Floor
flat,0.5,3.0,3,1,Relatively New,sector 92,576.0,0,0,0,Low,Low Floor
flat,1.95,3.0,3,3,New Property,sector 102,1460.0,0,1,0,Medium,High Floor
house,2.45,4.0,4,3+,Moderately Old,sector 43,540.0,1,0,1,Medium,Mid Floor
house,0.34,1.0,1,0,Moderately Old,sector 110,500.0,0,0,0,Low,Low Floor
house,1.55,2.0,2,2,Moderately Old,sector 7,1080.0,0,0,2,Medium,Low Floor
flat,2.15,3.0,4,3+,Moderately Old,sector 47,1950.0,1,0,0,Low,Mid Floor
house,6.0,5.0,6,3+,Old Property,sector 2,2430.0,0,0,2,Low,Mid Floor
flat,2.41,3.0,3,3,New Property,sector 61,1630.0,0,0,0,Medium,Low Floor
flat,2.58,3.0,4,2,Relatively New,sector 111,2200.0,1,0,0,Medium,Mid Floor
house,8.5,4.0,4,1,Relatively New,sector 48,3240.0,0,0,0,Low,Low Floor
flat,2.5,3.0,3,3,Under Construction,sector 65,1645.0,0,0,0,Low,High Floor
flat,0.93,2.0,3,3,Relatively New,sector 108,1155.0,0,0,0,Medium,Mid Floor
house,4.35,4.0,4,3,Relatively New,sector 81,5480.0,1,1,0,Medium,Low Floor
flat,1.6,2.0,2,2,Under Construction,sector 61,1278.0,0,0,0,Low,Mid Floor
house,7.25,9.0,9,3+,New Property,sector 57,2700.0,1,0,2,Low,Low Floor
flat,2.37,4.0,4,3+,Under Construction,sector 113,2060.0,0,0,0,Medium,High Floor
flat,1.2,3.0,3,3,Relatively New,sector 107,1750.0,0,0,2,Low,Mid Floor
flat,0.69,2.0,2,3+,Relatively New,sector 84,1215.0,0,0,0,Medium,Mid Floor
flat,2.0,4.0,4,2,Under Construction,sector 56,2070.0,0,0,0,Low,Mid Floor
flat,1.5,3.0,3,3,Under Construction,sector 89,1480.0,0,0,0,Medium,Mid Floor
flat,0.37,2.0,2,1,Relatively New,sector 84,531.0,0,0,0,Medium,Mid Floor
flat,1.04,2.0,3,3+,Relatively New,sector 85,1567.0,0,1,0,Medium,Mid Floor
flat,1.72,3.0,3,3,Relatively New,sector 83,1600.0,1,0,2,High,Mid Floor
flat,1.7,4.0,4,3+,New Property,sector 68,1799.0,0,0,0,Medium,High Floor
flat,1.12,3.0,4,3,Moderately Old,sector 71,1622.0,1,0,0,Medium,Low Floor
flat,1.5,3.0,3,3,Relatively New,sector 89,1913.0,1,0,0,Medium,Mid Floor
flat,1.27,2.0,2,3+,Relatively New,sector 70,1449.0,0,0,2,Medium,High Floor
flat,2.0,3.0,3,0,Relatively New,sector 48,1913.0,1,0,0,Medium,High Floor
flat,2.8,3.0,3,2,New Property,sector 66,1950.0,1,0,1,Medium,High Floor
flat,1.56,3.0,4,3+,Relatively New,sector 86,1580.0,0,1,0,High,High Floor
house,6.0,4.0,4,1,Relatively New,sector 2,3000.0,0,0,0,Low,Low Floor
flat,1.35,4.0,4,3,Moderately Old,sector 71,2115.0,1,0,0,Low,Mid Floor
flat,0.7,2.0,2,3,New Property,sector 90,1217.0,0,0,0,Medium,Mid Floor
flat,1.27,3.0,3,3,Relatively New,sector 37c,1587.0,0,0,0,Low,Low Floor
flat,1.25,4.0,4,3,Relatively New,sector 78,2300.0,1,0,0,Medium,Low Floor
flat,1.0,3.0,3,3+,Moderately Old,sector 37,1593.0,0,0,0,Low,High Floor
flat,0.9,2.0,3,3,Relatively New,sector 108,978.23,1,0,0,Medium,Low Floor
flat,6.44,4.0,4,3,Moderately Old,sector 53,3051.0,1,0,2,Medium,Mid Floor
house,2.0,3.0,10,3,Moderately Old,sector 31,210.0,0,0,0,Low,Mid Floor
flat,0.82,2.0,2,3,Relatively New,sector 81,955.0,0,0,0,Medium,Low Floor
flat,1.82,3.0,3,3,Relatively New,sector 70,1600.0,0,0,0,Medium,High Floor
flat,1.05,2.0,2,2,Under Construction,sector 102,1017.0,0,0,0,Low,Low Floor
flat,1.68,3.0,3,3+,Relatively New,sector 108,1338.29,1,0,2,Medium,Mid Floor
flat,3.5,5.0,5,3+,Relatively New,sector 82,2896.0,0,0,1,Low,High Floor
flat,1.29,3.0,3,1,Relatively New,sector 69,1411.0,0,0,2,Medium,High Floor
house,11.0,5.0,6,3+,New Property,sector 43,4050.0,1,0,2,High,Mid Floor
flat,0.55,2.0,2,2,Relatively New,sector 85,1050.0,0,0,0,High,Mid Floor
flat,1.73,3.0,4,3+,Relatively New,sector 104,2061.0,1,0,0,High,High Floor
flat,2.0,4.0,3,3+,Old Property,sector 49,2479.0,0,0,0,Medium,Mid Floor
house,1.15,2.0,2,3,Relatively New,sector 33,1400.0,0,0,2,Medium,Low Floor
house,0.85,3.0,2,2,Under Construction,sohna,1120.0,0,0,0,Low,Low Floor
flat,2.85,4.0,4,3,Relatively New,sector 65,1975.0,1,0,0,Low,Low Floor
house,0.45,3.0,2,1,Moderately Old,sector 21,594.0,0,0,0,Low,Low Floor
flat,1.35,3.0,3,3,Relatively New,sector 84,1750.0,0,0,0,Medium,Mid Floor
flat,0.36,2.0,2,1,New Property,sector 79,546.0,0,0,0,Medium,Mid Floor
flat,7.9,4.0,4,3+,Under Construction,sector 63,3950.0,0,0,0,Medium,High Floor
house,9.5,8.0,8,3,Relatively New,sector 17,4050.0,0,0,2,Low,Mid Floor
flat,1.4,3.0,3,2,Relatively New,sector 69,1420.0,0,0,0,Medium,Mid Floor
flat,1.68,4.0,4,2,Relatively New,sector 69,1809.0,0,0,0,Medium,Low Floor
flat,0.8,3.0,2,3,Moderately Old,sector 2,1440.0,0,0,0,Low,Mid Floor
flat,0.28,2.0,2,2,Relatively New,sector 107,543.0,0,0,0,Low,Low Floor
flat,0.45,2.0,2,1,New Property,sector 92,646.0,0,0,2,Low,Mid Floor
flat,1.75,3.0,4,3,Old Property,sector 39,2222.0,1,0,1,Low,Mid Floor
flat,1.5,2.0,2,2,Relatively New,sector 67,1500.0,0,1,2,Low,Mid Floor
flat,1.6,3.0,3,3+,Old Property,sector 48,1895.0,0,0,2,Low,Mid Floor
flat,6.0,5.0,6,3+,Moderately Old,sector 113,7294.0,0,0,0,Medium,High Floor
flat,1.75,3.0,4,2,Relatively New,sector 70,1950.0,1,0,0,Low,High Floor
flat,0.36,1.0,1,1,Relatively New,sector 111,450.0,0,0,0,Low,Mid Floor
house,3.51,4.0,4,3,Under Construction,sector 24,2844.0,1,1,2,High,Mid Floor
flat,1.35,4.0,5,3+,Relatively New,sector 104,3000.0,1,1,0,Medium,Low Floor
flat,1.42,4.0,6,3+,Relatively New,sector 106,2120.0,1,0,0,Medium,High Floor
flat,1.15,2.0,2,3,New Property,sector 70,1400.0,0,0,0,Medium,Mid Floor
flat,1.6,3.0,3,3,Relatively New,sector 102,1311.0,0,0,0,Low,Mid Floor
flat,1.9,3.0,4,3,Under Construction,sector 79,1935.0,0,0,0,Medium,High Floor
house,4.49,3.0,9,3+,Moderately Old,sector 45,1836.0,0,0,2,Medium,Mid Floor
flat,2.45,3.0,3,3+,Relatively New,sector 113,1890.0,0,0,0,High,Mid Floor
flat,1.3,4.0,4,0,Relatively New,sector 92,2040.0,0,0,0,Low,Mid Floor
flat,0.82,3.0,2,3,New Property,sector 36,1201.0,0,0,0,Low,Low Floor
flat,0.91,3.0,3,3+,Moderately Old,sector 1,1900.0,1,0,0,Low,Mid Floor
flat,2.0,3.0,3,3+,Relatively New,sector 108,2104.0,1,0,0,Medium,High Floor
flat,0.7,3.0,3,0,Relatively New,sector 92,1572.0,0,0,0,Low,Mid Floor
house,0.96,2.0,4,2,Moderately Old,sector 5,945.0,0,1,2,Low,Mid Floor
flat,1.58,3.0,3,1,Relatively New,sector 86,1750.0,0,0,2,High,High Floor
flat,5.7,3.0,3,3,Moderately Old,sector 54,1382.0,0,0,0,Low,Low Floor
flat,1.64,3.0,5,3,Relatively New,sector 70,1523.0,1,0,0,Medium,Mid Floor
flat,1.27,4.0,5,2,New Property,sector 90,2242.0,1,0,0,Medium,Mid Floor
flat,1.3,3.0,3,3+,Relatively New,sector 88a,1990.0,0,0,0,Medium,Mid Floor
flat,1.01,3.0,3,2,Relatively New,sector 84,1475.0,0,0,0,Low,High Floor
flat,1.71,3.0,2,0,New Property,sector 89,1423.0,0,0,0,Low,Mid Floor
flat,0.82,2.0,2,3+,Under Construction,sector 68,1062.0,0,0,0,Medium,High Floor
flat,1.25,3.0,2,1,New Property,sector 86,1521.0,0,0,0,Medium,Low Floor
flat,4.1,3.0,3,3+,New Property,sector 22,2062.0,0,0,1,Medium,Low Floor
flat,0.95,3.0,3,3,Relatively New,sector 90,1667.0,1,0,0,Medium,Mid Floor
flat,0.82,3.0,3,3+,Relatively New,sector 92,1221.18,0,0,0,Medium,High Floor
flat,2.7,4.0,4,3+,New Property,sector 85,3134.0,0,0,0,Low,High Floor
flat,2.1,3.0,4,3+,Old Property,sector 56,2200.0,0,0,2,High,Mid Floor
flat,0.33,2.0,2,1,New Property,sector 95,690.0,0,0,2,Medium,High Floor
house,7.0,3.0,2,0,Moderately Old,sector 50,2160.0,0,0,0,Low,Low Floor
flat,3.5,3.0,3,2,Relatively New,sector 66,2200.0,0,0,0,Medium,Mid Floor
flat,1.0,2.0,2,3,New Property,sector 89,1233.0,0,0,0,Medium,Mid Floor
flat,3.21,3.0,3,3,New Property,sector 113,2268.0,0,0,0,Low,Mid Floor
house,1.39,2.0,2,1,Old Property,sector 28,1450.0,0,1,0,Low,Mid Floor
house,0.7,3.0,3,0,Old Property,sector 4,117.0,0,0,0,Low,Low Floor
flat,1.6,3.0,3,3,Relatively New,sector 92,1760.0,1,0,2,Medium,Mid Floor
flat,1.55,3.0,3,3,Old Property,sector 56,1800.0,1,0,2,Medium,Mid Floor
flat,3.2,3.0,3,3,Relatively New,sector 66,1800.0,1,1,0,Medium,High Floor
flat,1.73,3.0,3,3,Relatively New,sector 65,1256.0,1,0,1,High,Mid Floor
flat,5.15,3.0,3,3+,Moderately Old,sector 48,2364.0,1,0,1,Medium,Mid Floor
flat,1.3,2.0,4,2,Relatively New,sector 79,1216.0,0,0,0,Medium,Mid Floor
flat,2.65,4.0,4,3+,Relatively New,sector 104,2835.0,1,0,0,High,Mid Floor
house,7.5,8.0,8,3+,Relatively New,sector 56,3240.0,1,0,1,Low,Mid Floor
flat,1.85,3.0,4,3,New Property,sector 67,1941.0,0,1,2,High,Mid Floor
flat,1.75,3.0,3,3,Relatively New,sector 83,1544.0,1,0,2,Medium,Mid Floor
flat,3.45,4.0,5,3+,Relatively New,sector 111,2655.0,1,0,0,Medium,Mid Floor
flat,0.97,2.0,2,3+,New Property,sector 89,1103.0,0,0,0,Low,Low Floor
house,9.8,4.0,4,3,Moderately Old,sector 50,3240.0,1,0,0,Low,Low Floor
flat,0.5,2.0,2,2,Relatively New,sector 103,696.0,0,0,0,Low,Mid Floor
flat,1.38,3.0,3,3,Relatively New,sector 102,1311.0,1,0,2,Medium,Mid Floor
flat,2.2,3.0,4,3,Relatively New,sector 109,1860.0,1,0,0,High,Mid Floor
house,12.0,4.0,4,3+,Relatively New,sector 66,3240.0,1,1,2,High,Mid Floor
flat,1.75,2.0,2,2,Relatively New,sector 113,1422.0,0,0,0,Medium,Mid Floor
flat,3.75,3.0,3,2,New Property,sector 108,2109.0,1,0,0,Medium,High Floor
flat,1.75,3.0,3,3+,Moderately Old,sector 54,2100.0,1,0,2,Medium,Mid Floor
house,7.85,9.0,9,3+,Relatively New,a block sushant lok phase 1,2700.0,1,0,1,Low,Mid Floor
flat,1.15,2.0,2,3,Relatively New,sector 88a,1376.0,0,0,0,High,High Floor
flat,1.05,4.0,4,3+,New Property,sector 84,1886.0,0,0,0,Medium,Mid Floor
house,4.5,4.0,4,0,Relatively New,sector 28,3240.0,0,0,0,Low,Mid Floor
flat,0.86,3.0,3,3+,Moderately Old,sector 1,1900.0,1,0,0,Medium,Mid Floor
flat,4.0,4.0,4,3,New Property,sector 110,3350.0,0,0,0,Medium,High Floor
house,0.49,2.0,2,1,New Property,sector 47,1150.0,0,0,0,Low,Mid Floor
flat,2.1,2.0,2,3,New Property,sector 65,1012.0,0,0,0,Low,Mid Floor
flat,2.15,2.0,3,2,Relatively New,sector 60,1250.0,1,0,2,Low,Mid Floor
flat,3.45,4.0,4,3,Moderately Old,sector 110,3060.0,1,0,2,Medium,Mid Floor
house,4.7,3.0,3,3+,New Property,sector 82,2160.0,1,0,0,Low,Mid Floor
flat,2.78,4.0,4,3+,Relatively New,sector 104,2835.0,1,0,0,Medium,High Floor
flat,1.92,3.0,3,3,Relatively New,sector 102,2222.0,1,1,0,Medium,High Floor
flat,0.49,3.0,2,2,Under Construction,sector 104,694.0,0,0,0,Medium,Mid Floor
flat,1.82,3.0,2,2,Relatively New,sector 106,1359.0,0,0,0,Low,Mid Floor
flat,3.0,3.0,3,2,Relatively New,sector 112,2600.0,0,0,2,Low,Low Floor
flat,0.97,2.0,2,2,New Property,sector 102,745.0,0,0,0,Medium,High Floor
house,1.07,2.0,2,1,Old Property,sector 15,900.0,1,0,0,Low,Low Floor
flat,1.25,3.0,3,3,Under Construction,sector 70,1679.0,0,0,0,Medium,High Floor
flat,1.42,3.0,3,3,Relatively New,sector 102,1311.0,1,0,0,Medium,Mid Floor
flat,1.15,3.0,4,3+,Relatively New,sector 106,1186.0,1,0,2,High,High Floor
flat,4.25,4.0,4,3+,Relatively New,sector 72,2925.0,1,0,2,High,Low Floor
flat,0.41,2.0,2,2,New Property,sector 95a,670.0,0,0,2,Medium,High Floor
flat,1.45,3.0,3,3+,Moderately Old,sector 56,1710.0,0,0,2,Medium,Low Floor
flat,1.05,3.0,3,3,Relatively New,sector 83,1614.0,0,1,0,Medium,Mid Floor
house,13.2,6.0,6,0,Moderately Old,sector 50,4861.0,0,0,0,Low,Low Floor
flat,2.0,4.0,3,3,Moderately Old,sector 52,2085.0,1,0,1,Medium,Mid Floor
flat,0.2,1.0,1,1,Relatively New,sector 95,407.0,0,0,0,Medium,Low Floor
flat,1.17,3.0,3,3,Relatively New,sector 90,1630.0,0,0,2,Medium,High Floor
house,0.8,5.0,4,3,Under Construction,sector 4,146.0,0,0,0,Low,Mid Floor
flat,2.3,2.0,2,2,Relatively New,sector 36a,1479.0,0,0,0,Medium,High Floor
flat,2.55,3.0,3,3,Relatively New,sector 22,1860.0,0,0,1,Low,Mid Floor
flat,0.89,3.0,3,3,Relatively New,sector 84,1823.0,0,0,0,Medium,Mid Floor
house,9.01,4.0,4,3+,Relatively New,sector 66,5574.7,1,1,0,Medium,Mid Floor
flat,3.5,3.0,3,3,Under Construction,sector 63,1350.0,0,0,0,Low,Low Floor
flat,1.26,3.0,3,2,Relatively New,sector 90,1650.0,0,0,0,Low,High Floor
flat,1.65,2.0,2,3,New Property,sector 70,1136.0,0,0,0,Medium,High Floor
house,2.8,3.0,3,2,Moderately Old,sector 49,1268.0,1,1,2,Medium,Low Floor
flat,1.92,4.0,4,2,Relatively New,sector 69,1389.0,0,0,0,High,Low Floor
flat,1.25,2.0,2,3,Relatively New,sector 33,1385.0,0,0,0,Medium,High Floor
house,3.25,4.0,4,3+,Moderately Old,sector 31,1449.0,1,1,2,Low,Mid Floor
house,5.0,9.0,9,3+,Moderately Old,sector 40,2367.0,1,1,2,Medium,Mid Floor
flat,1.35,3.0,2,2,Old Property,sector 56,1275.0,0,0,0,High,Low Floor
flat,0.75,2.0,2,3,Relatively New,sector 104,1142.0,0,0,0,Medium,Mid Floor
house,9.5,5.0,5,3+,Relatively New,sector 109,3600.0,1,1,0,Medium,Low Floor
flat,1.2,3.0,3,3+,Under Construction,sector 103,1940.0,1,0,0,Low,Mid Floor
flat,0.69,2.0,2,2,Moderately Old,sector 78,1422.0,0,0,0,Medium,High Floor
flat,0.5,2.0,2,1,Relatively New,sector 86,668.0,0,0,0,Low,Low Floor
flat,0.95,2.0,2,0,Moderately Old,sector 71,1200.0,0,0,0,Low,Mid Floor
house,6.0,4.0,6,2,Old Property,sector 12,1710.0,0,0,0,Low,Low Floor
flat,2.0,4.0,5,3+,New Property,sector 103,2403.0,1,0,0,Low,High Floor
flat,0.27,2.0,2,1,New Property,sector 99a,552.0,0,0,0,Low,Mid Floor
flat,0.38,3.0,2,1,Relatively New,sector 95,716.0,0,0,2,Medium,Low Floor
flat,0.75,2.0,2,2,Under Construction,sector 69,986.0,0,0,0,Low,Mid Floor
flat,0.61,3.0,2,2,Under Construction,sector 92,1135.0,0,0,0,Low,Mid Floor
flat,1.28,3.0,3,3,Relatively New,sector 82,1800.0,0,0,2,High,Mid Floor
flat,2.62,4.0,4,3+,Relatively New,sector 104,2835.0,1,0,0,High,High Floor
flat,1.8,4.0,4,3+,Moderately Old,sector 91,2604.0,1,0,0,Medium,Mid Floor
house,0.34,1.0,1,1,Relatively New,sector 39,450.0,0,0,0,Low,Low Floor
flat,1.59,3.0,3,3,Relatively New,sector 86,1700.0,0,0,2,High,High Floor
flat,2.1,2.0,2,2,New Property,sector 62,1358.0,1,0,0,Medium,High Floor
flat,0.8,3.0,2,2,Relatively New,sector 92,1473.0,0,0,0,Low,Mid Floor
flat,2.1,2.0,2,2,New Property,sector 65,1179.0,0,0,0,Medium,High Floor
flat,3.87,3.0,4,3+,Under Construction,sector 61,2250.0,1,0,0,Medium,High Floor
flat,0.31,2.0,2,1,Relatively New,sector 95,610.0,0,0,2,Medium,Mid Floor
flat,1.32,3.0,5,3,New Property,sector 99a,1732.0,1,0,0,Medium,High Floor
flat,1.43,3.0,3,2,Relatively New,sector 69,1301.0,0,0,0,Medium,Low Floor
flat,3.7,4.0,5,3,Relatively New,sector 110,3060.0,1,0,0,High,Mid Floor
house,0.85,3.0,2,0,Relatively New,sector 33,900.0,0,0,0,Low,Low Floor
flat,1.25,3.0,3,3,Relatively New,sector 37c,1559.0,0,0,0,Low,Low Floor
flat,1.65,3.0,3,3+,Relatively New,sector 109,1935.0,1,0,2,Low,High Floor
flat,1.24,2.0,2,3,Relatively New,sector 85,1730.0,0,0,0,Low,Mid Floor
flat,3.65,3.0,4,3+,Relatively New,sector 112,2225.56,1,0,2,High,High Floor
house,6.5,5.0,6,0,Moderately Old,sector 50,3000.0,0,0,0,Low,Low Floor
flat,0.95,3.0,3,2,Relatively New,sector 78,1730.0,0,0,2,Medium,Mid Floor
flat,1.35,3.0,3,3,Relatively New,sector 102,1311.0,1,0,0,Medium,Mid Floor
flat,0.78,2.0,2,3,Under Construction,sector 92,843.0,0,0,0,Low,Low Floor
flat,1.1,4.0,3,3,Relatively New,sector 95,2824.0,1,0,0,Low,Mid Floor
flat,0.85,2.0,2,2,New Property,sector 99a,1127.0,0,0,0,Low,Mid Floor
flat,3.5,4.0,5,3+,Relatively New,sector 72,2625.0,1,0,0,Low,Mid Floor
flat,1.55,3.0,3,3+,Moderately Old,sector 54,2000.0,0,0,2,Medium,Mid Floor
flat,0.55,2.0,2,1,Relatively New,sector 71,600.0,0,0,2,Low,Mid Floor
flat,1.78,2.0,2,3+,Relatively New,sector 74,1582.0,0,0,0,Medium,High Floor
house,14.0,9.0,9,3+,Moderately Old,c block sushant lok phase 1,3510.0,1,0,0,Low,Mid Floor
flat,1.32,2.0,2,2,Relatively New,sector 66,1042.0,0,0,0,Low,Mid Floor
flat,1.9,3.0,3,3,Under Construction,sector 104,1361.0,0,0,2,Medium,High Floor
flat,1.0,2.0,2,3,New Property,sector 68,1311.0,0,0,0,Low,High Floor
flat,2.2,3.0,4,3+,Relatively New,sector 81,2475.0,1,0,2,High,Mid Floor
flat,2.5,3.0,3,1,Under Construction,sector 61,1549.0,0,0,0,Medium,Low Floor
flat,1.08,3.0,3,3,New Property,sector 76,1764.0,1,0,0,Medium,Low Floor
flat,3.65,3.0,3,3+,Relatively New,sector 48,2395.0,0,0,2,High,Mid Floor
flat,0.9,3.0,3,0,Under Construction,sector 89,1910.0,0,0,0,Medium,High Floor
flat,4.86,3.0,4,3+,Relatively New,sector 54,1875.0,1,0,2,Low,Mid Floor
flat,2.6,4.0,4,3+,Moderately Old,sector 69,2160.0,1,0,0,Low,Mid Floor
flat,2.08,4.0,4,3,New Property,sector 37,2199.0,1,0,0,Medium,Low Floor
house,0.36,1.0,1,0,Old Property,sector 9,450.0,0,0,0,Low,Low Floor
flat,0.56,2.0,2,2,Relatively New,sector 67,778.0,0,0,0,Low,Low Floor
flat,0.55,3.0,2,2,New Property,sector 95,864.0,0,0,1,Low,High Floor
flat,2.85,3.0,3,3,Relatively New,sector 66,1950.0,0,0,2,Medium,High Floor
flat,3.45,4.0,4,3+,Moderately Old,sector 48,3000.0,0,0,0,Low,Low Floor
house,8.25,5.0,6,3+,Moderately Old,b block sushant lok phase 1,2700.0,1,1,2,Medium,Mid Floor
flat,1.57,3.0,3,3,Relatively New,sector 103,1845.0,0,0,0,Low,Low Floor
flat,1.2,3.0,3,3,Relatively New,sector 106,1145.0,0,0,0,High,High Floor
flat,1.1,2.0,2,3+,New Property,sector 79,1216.0,0,0,2,Low,Mid Floor
flat,1.55,3.0,3,3,Relatively New,sector 70,1523.0,1,0,0,Low,Mid Floor
flat,3.05,3.0,3,3+,Relatively New,sector 67,2023.0,1,0,2,High,High Floor
flat,1.5,3.0,3,3+,Relatively New,sector 56,1900.0,1,0,2,Medium,Mid Floor
flat,1.35,2.0,2,2,Relatively New,sector 102,1223.0,0,0,0,Medium,Mid Floor
flat,0.58,2.0,2,2,New Property,sector 36,822.0,0,0,0,Medium,Mid Floor
flat,5.9,3.0,3,3,Moderately Old,sector 65,3027.0,0,0,1,Low,Mid Floor
flat,0.8,4.0,3,2,Relatively New,sector 92,1710.0,0,0,0,Low,Mid Floor
house,23.0,4.0,4,3+,Relatively New,sector 26,9000.0,1,1,2,Medium,Low Floor
flat,0.86,2.0,2,2,Relatively New,sector 82,1287.0,0,0,2,Medium,High Floor
flat,2.8,3.0,4,3,Relatively New,sector 70,2350.0,1,0,0,Low,High Floor
flat,0.37,3.0,2,1,Relatively New,sector 95,716.0,0,0,2,Medium,Mid Floor
house,6.8,4.0,5,3,Old Property,sector 50,2160.0,1,0,2,Medium,Mid Floor
flat,2.09,4.0,4,3+,Relatively New,sector 56,2300.0,0,0,2,Medium,Mid Floor
flat,4.85,4.0,4,3+,Relatively New,sector 66,3500.0,1,1,2,High,High Floor
house,2.25,3.0,2,1,Old Property,sector 10,250.0,1,0,0,Low,Low Floor
house,15.0,4.0,4,2,Moderately Old,sector 50,4500.0,1,0,0,High,Low Floor
