society,property_type,price,price_per_sqft,areaWithType,area,bedRoom,bathroom,balcony,floorNum,facing,agePossession,property_id,sector,super_built_up_area,built_up_area,carpet_area,study room,servant room,store room,pooja room,others,furnishing_type,luxury_score
mrg skyline,flat,1.82,13392.0,Built Up area: 1359 (126.26 sq.m.)Carpet area: 952 sq.ft. (88.44 sq.m.),1359.0,3,2,2,4.0,East,Undefined,H69258514,sector 106,,1359.0,952.0,0,0,0,0,0,0,0
experion windchants,flat,3.0,11538.0,Super Built up area 2802(260.31 sq.m.)Built Up area: 2600 sq.ft. (241.55 sq.m.)Carpet area: 2200 sq.ft. (204.39 sq.m.),2600.0,3,3,2,2.0,North,Relatively New,J69916692,sector 112,2802.0,2600.0,2200.0,0,0,0,0,1,2,49
shapoorji pallonji joyville gurugram,flat,0.97,10601.0,Super Built up area 915(85.01 sq.m.)Carpet area: 600 sq.ft. (55.74 sq.m.),915.0,2,2,2,12.0,,New Property,N68217640,sector 102,915.0,,600.0,0,0,0,0,0,0,57
independent,house,1.07,11888.0,Plot area 900(83.61 sq.m.),900.0,2,2,1,1.0,,Old Property,,sector 15,,900.0,,0,1,0,0,0,0,7
krrish florence estate,flat,1.25,6703.0,Super Built up area 1865(173.26 sq.m.),1865.0,3,3,3,18.0,North-East,Under Construction,H33897213,sector 70,1865.0,,,0,0,0,0,0,0,51
emaar gurgaon greens,flat,1.42,8606.0,Super Built up area 1650(153.29 sq.m.)Carpet area: 1022.58 sq.ft. (95 sq.m.),1650.0,3,3,3,7.0,East,Relatively New,Z69307376,sector 102,1650.0,,1022.58,0,1,0,0,0,0,128
paras dews,flat,1.15,6534.0,Super Built up area 1760(163.51 sq.m.)Built Up area: 1186 sq.ft. (110.18 sq.m.)Carpet area: 1130 sq.ft. (104.98 sq.m.),1760.0,3,4,3+,12.0,East,Relatively New,P67113864,sector 106,1760.0,1186.0,1130.0,1,1,0,0,0,2,174
tata primanti,flat,4.25,13076.0,Super Built up area 3250(301.93 sq.m.),3250.0,4,4,3+,0.0,North,Relatively New,Q69318144,sector 72,3250.0,,,0,1,0,0,0,2,174
signature the roselia,flat,0.41,7293.0,Built Up area: 670 (62.25 sq.m.)Carpet area: 569 sq.ft. (52.86 sq.m.),562.0,2,2,2,12.0,South,New Property,J70037020,sector 95a,,670.0,569.0,0,0,0,0,0,2,93
kanchanjanga tower,flat,1.45,7631.0,Super Built up area 1900(176.52 sq.m.),1900.0,3,3,3+,2.0,North,Moderately Old,E69440440,sector 56,1900.0,,,0,0,0,0,0,2,126
ss the leaf,flat,1.93,8075.0,Super Built up area 2408(223.71 sq.m.)Built Up area: 2400 sq.ft. (222.97 sq.m.)Carpet area: 2390 sq.ft. (222.04 sq.m.),2390.0,3,4,3,7.0,North-East,Relatively New,R65906980,sector 85,2408.0,2400.0,2390.0,0,1,0,0,0,0,174
vatika gurgaon,flat,1.05,7000.0,Super Built up area 1735(161.19 sq.m.)Carpet area: 1500 sq.ft. (139.35 sq.m.),1500.0,3,3,3,3.0,South-West,Relatively New,S68476008,sector 83,1735.0,,1500.0,0,0,1,0,0,0,79
independent,house,13.2,27155.0,Built Up area: 4861 (451.6 sq.m.),4861.0,6,6,0,2.0,,Undefined,,sector 50,,4861.0,,0,0,0,0,0,0,0
friends apartment,flat,2.0,8510.0,Super Built up area 2350(218.32 sq.m.)Carpet area: 1850 sq.ft. (171.87 sq.m.),2350.0,4,3,3,5.0,North,Moderately Old,Q69487782,sector 52,2350.0,,1850.0,0,1,0,0,0,1,111
rof ananda,flat,0.2,5599.0,Carpet area: 366.08 (34.01 sq.m.),357.0,1,1,1,2.0,South-West,Relatively New,L69979122,sector 95,,,366.08023899999995,0,0,0,1,0,0,53
dlf regal gardens,flat,1.17,6708.0,Super Built up area 1744(162.02 sq.m.)Built Up area: 1630 sq.ft. (151.43 sq.m.)Carpet area: 1290 sq.ft. (119.84 sq.m.),1744.0,3,3,3,15.0,North,Relatively New,H68285778,sector 90,1744.0,1630.0,1290.0,0,0,0,0,0,2,136
not applicable,house,0.8,54794.0,Plot area 146(13.56 sq.m.),146.0,5,4,3,3.0,,Under Construction,,sector 4,,146.0,,0,0,0,0,0,0,0
krisumi waterfall residences,flat,2.3,15551.0,Built Up area: 1479 (137.4 sq.m.),1479.0,2,2,2,23.0,,Undefined,F69091350,sector 36a,,1479.0,,0,0,0,0,0,0,58
ambience creacions,flat,2.55,13709.0,Super Built up area 1860(172.8 sq.m.)Built Up area: 1600 sq.ft. (148.64 sq.m.)Carpet area: 1400 sq.ft. (130.06 sq.m.),1860.0,3,3,3,5.0,North-East,Relatively New,W70124530,sector 22,1860.0,1600.0,1400.0,0,0,0,0,0,1,49
antriksh heights,flat,0.89,4370.0,Super Built up area 2025(188.13 sq.m.),2037.0,3,3,3,8.0,North,Relatively New,D69973246,sector 84,2025.0,,,0,0,0,1,0,0,67
emaar mgf marbella,house,9.01,16066.0,Plot area 521,5608.0,4,4,3+,3.0,North-East,Relatively New,,sector 66,,5574.7,,0,1,1,0,0,0,122
birla navya,flat,3.5,25925.0,Carpet area: 1350 (125.42 sq.m.),1350.0,3,3,3,1.0,,Under Construction,W63605720,sector 63,,,1350.0,0,0,0,0,0,0,38
dlf regal gardens,flat,1.26,7636.0,Super Built up area 1744(162.02 sq.m.)Built Up area: 1650 sq.ft. (153.29 sq.m.),1650.0,3,3,2,12.0,North,Relatively New,B69161912,sector 90,1744.0,1650.0,,0,0,0,0,1,0,8
aipl zen residences,flat,1.65,13074.0,Super Built up area 1262(117.24 sq.m.),1262.0,2,2,3,23.0,North-West,New Property,Q68396986,sector 70,1262.0,,,0,0,0,0,0,0,81
independent,house,2.8,22075.0,Plot area 153(127.93 sq.m.),1268.0,3,3,2,2.0,East,Moderately Old,,sector 49,,153.0,,1,1,1,1,0,2,93
tulip violet,flat,1.92,15360.0,Carpet area: 1250 (116.13 sq.m.),1250.0,4,4,2,0.0,South,Relatively New,A69355858,sector 69,,,1250.0,0,0,0,0,0,0,174
godrej nature plus,flat,1.25,9025.0,Built Up area: 1385 (128.67 sq.m.)Carpet area: 1000 sq.ft. (92.9 sq.m.),1385.0,2,2,3,17.0,,Undefined,W69238500,sector 33,,1385.0,1000.0,0,0,0,0,0,0,56
independent,house,3.25,22429.0,Plot area 161(134.62 sq.m.),1449.0,4,4,3+,3.0,,Moderately Old,,sector 31,,1449.0,,1,1,1,1,0,2,29
independent,house,5.0,21124.0,Plot area 263(219.9 sq.m.),2367.0,9,9,3+,3.0,North-West,Moderately Old,,sector 40,,2367.0,,0,1,1,0,0,2,83
rail vihar cghs,flat,1.35,10384.0,Super Built up area 1300(120.77 sq.m.)Built Up area: 1275 sq.ft. (118.45 sq.m.)Carpet area: 1250 sq.ft. (116.13 sq.m.),1300.0,3,2,2,1.0,West,Old Property,V69706736,sector 56,1300.0,1275.0,1250.0,0,0,0,0,1,0,159
godrej summit,flat,0.75,5910.0,Super Built up area 1269(117.89 sq.m.),1269.0,2,2,3,6.0,East,Relatively New,U50040234,sector 104,1269.0,,,0,0,0,0,1,0,79
independent,house,4.5,25000.0,Plot area 200(167.23 sq.m.),1800.0,16,16,3+,4.0,South,Relatively New,,sector 11,,1800.0,,0,0,0,0,0,2,20
international city by sobha phase 2,house,9.5,26389.0,Plot area 400(334.45 sq.m.),3600.0,5,5,3+,2.0,South,Relatively New,,sector 109,,3600.0,,1,1,1,1,0,0,133
ansals highland park,flat,1.2,6185.0,Built Up area: 1940 (180.23 sq.m.),1940.0,3,3,3+,4.0,,Under Construction,M61073986,sector 103,,1940.0,,0,1,0,0,0,0,0
umang monsoon breeze,flat,0.69,5390.0,Carpet area: 1280 (118.92 sq.m.),1280.0,2,2,2,11.0,,Moderately Old,K69682308,sector 78,,,1280.0,0,0,0,0,0,0,60
luxury dlf city floors,house,20.0,48889.0,Plot area 500(418.06 sq.m.),4091.0,16,16,3+,4.0,,New Property,,sector 26,,500.0,,0,1,0,0,0,2,31
pyramid urban homes 2,flat,0.5,8319.0,Carpet area: 601 (55.83 sq.m.),601.0,2,2,1,2.0,East,Relatively New,D69281892,sector 86,,,601.0,0,0,0,0,0,0,35
chd avenue,flat,0.95,7917.0,Built Up area: 1200 (111.48 sq.m.),1200.0,2,2,0,5.0,South,Undefined,D69982334,sector 71,,1200.0,,0,0,0,0,0,0,0
independent,house,6.0,315789.0,Plot area 190(17.65 sq.m.)Carpet area: 1600 sq.ft. (148.64 sq.m.),190.0,9,6,2,2.0,North-East,Old Property,,sector 12,,,1600.0,0,0,0,0,0,0,0
ansal housing highland park,flat,2.0,7490.0,Super Built up area 2670(248.05 sq.m.),2670.0,4,5,3+,14.0,,New Property,S64281756,sector 103,2670.0,,,0,1,0,0,0,0,45
prime habitat,flat,0.27,5432.0,Carpet area: 497 (46.17 sq.m.),497.0,2,2,1,4.0,North-East,New Property,H55001796,sector 99a,,,497.0,0,0,0,0,0,0,7
rof ananda,flat,0.38,5899.0,Carpet area: 644.12 (59.84 sq.m.),644.0,3,2,1,2.0,South-East,Relatively New,J69978520,sector 95,,,644.111776,0,0,0,1,0,2,66
unitech sunbreeze,flat,0.75,6849.0,Super Built up area 1095(101.73 sq.m.),1095.0,2,2,2,4.0,,Under Construction,G70026492,sector 69,1095.0,,,0,0,0,0,0,0,0
sare green parc 2,flat,0.61,4837.0,Super Built up area 1261(117.15 sq.m.),1261.0,3,2,2,6.0,,Under Construction,D59682774,sector 92,1261.0,,,0,0,0,0,1,0,0
vatika the seven lamps,flat,1.28,6819.0,Super Built up area 1877(174.38 sq.m.)Built Up area: 1800 sq.ft. (167.23 sq.m.)Carpet area: 1500 sq.ft. (139.35 sq.m.),1877.0,3,3,3,3.0,North,Relatively New,D69545164,sector 82,1877.0,1800.0,1500.0,1,0,0,0,0,2,165
ats triumph,flat,2.62,8317.0,Super Built up area 3150(292.64 sq.m.),3150.0,4,4,3+,14.0,North,Relatively New,E69696890,sector 104,3150.0,,,0,1,0,0,0,0,174
dlf new town heights,flat,1.8,7679.0,Carpet area: 2344 (217.76 sq.m.),2344.0,4,4,3+,6.0,,Moderately Old,A70082770,sector 91,,,2344.0,0,1,0,1,0,0,81
independent,house,0.34,7555.0,Built Up area: 450 (41.81 sq.m.),450.0,1,1,1,1.0,,Undefined,,sector 39,,450.0,,0,0,0,0,0,0,0
dlf the skycourt,flat,1.59,8242.0,Super Built up area 1929(179.21 sq.m.)Built Up area: 1700 sq.ft. (157.94 sq.m.)Carpet area: 1548 sq.ft. (143.81 sq.m.),1929.0,3,3,3,17.0,East,Relatively New,H69904258,sector 86,1929.0,1700.0,1548.0,0,0,0,0,1,2,165
emaar digihomes,flat,2.1,14254.0,Super Built up area 1508.26(140.12 sq.m.),1473.0,2,2,2,30.0,North,New Property,H69537854,sector 62,1508.26,,,0,1,0,0,0,0,52
sare crescent parc,flat,0.8,6033.0,Carpet area: 1326 (123.19 sq.m.),1326.0,3,2,2,3.0,North-East,Relatively New,H70119648,sector 92,,,1326.0,0,0,0,0,0,0,15
m3m skycity,flat,2.1,16030.0,Super Built up area 1310(121.7 sq.m.),1310.0,2,2,2,43.0,,New Property,O68590264,sector 65,1310.0,,,0,0,0,0,0,0,127
puri the aravallis,flat,3.87,17200.0,Super Built up area 2250(209.03 sq.m.)Carpet area: 1249.65 sq.ft. (116.1 sq.m.),2250.0,3,4,3+,21.0,East,Under Construction,N68643454,sector 61,2250.0,,1249.65,0,1,0,0,0,0,58
rof ananda,flat,0.31,5644.0,Carpet area: 549.16 (51.02 sq.m.),549.0,2,2,1,5.0,North,Relatively New,P69978952,sector 95,,,549.174178,0,0,0,1,0,2,74
pareena coban residences,flat,1.32,6609.0,Super Built up area 1997(185.53 sq.m.)Carpet area: 1500 sq.ft. (139.35 sq.m.),1997.0,3,5,3,11.0,North-East,New Property,Z69589064,sector 99a,1997.0,,1500.0,0,1,0,0,0,0,88
tulip violet,flat,1.43,8886.0,Super Built up area 1608(149.39 sq.m.)Carpet area: 1039 sq.ft. (96.53 sq.m.),1609.0,3,3,2,1.0,South-West,Relatively New,R69568362,sector 69,1608.0,,1039.0,0,0,0,1,0,0,86
indiabulls enigma,flat,3.7,10882.0,Super Built up area 3400(315.87 sq.m.),3400.0,4,5,3,7.0,South-West,Relatively New,A69958970,sector 110,3400.0,,,0,1,0,0,0,0,156
nitin vihar,house,0.85,9444.0,Plot area 900(83.61 sq.m.),900.0,3,2,0,1.0,West,Relatively New,,sector 33,,900.0,,0,0,0,0,0,0,15
corona optus,flat,1.25,7175.0,Super Built up area 1735(161.19 sq.m.)Carpet area: 1400 sq.ft. (130.06 sq.m.),1742.0,3,3,3,2.0,North-West,Relatively New,X70044746,sector 37c,1735.0,,1400.0,1,0,0,0,0,0,49
ats tourmaline,flat,1.65,7674.0,Super Built up area 2150(199.74 sq.m.),2150.0,3,3,3+,16.0,North-East,Relatively New,V69309850,sector 109,2150.0,,,0,1,0,0,0,2,49
ss the leaf,flat,1.24,7122.0,Super Built up area 1741(161.74 sq.m.)Built Up area: 1730 sq.ft. (160.72 sq.m.)Carpet area: 1720 sq.ft. (159.79 sq.m.),1741.0,2,2,3,10.0,West,Relatively New,L70086096,sector 85,1741.0,1730.0,1720.0,0,0,0,0,0,0,49
experion windchants,flat,3.65,12312.0,Super Built up area 2802(260.31 sq.m.)Built Up area: 2225.56 sq.ft. (206.76 sq.m.),2965.0,3,4,3+,14.0,South,Relatively New,R62216030,sector 112,2802.0,2225.56,,0,1,0,0,0,2,150
independent,house,6.5,21667.0,Built Up area: 3000 (278.71 sq.m.),3000.0,5,6,0,1.0,,Undefined,,sector 50,,3000.0,,0,0,0,0,0,0,0
umang monsoon breeze,flat,0.95,5491.0,Built Up area: 1730 (160.72 sq.m.),1730.0,3,3,2,9.0,East,Relatively New,U61729278,sector 78,,1730.0,,0,0,0,0,0,2,65
emaar gurgaon greens,flat,1.35,8181.0,Super Built up area 1650(153.29 sq.m.)Carpet area: 1022.58 sq.ft. (95 sq.m.),1650.0,3,3,3,5.0,North-West,Relatively New,C64607518,sector 102,1650.0,,1022.58,0,1,0,0,0,0,119
signature global city 92,flat,0.78,11142.0,Super Built up area 1010(93.83 sq.m.)Carpet area: 700 sq.ft. (65.03 sq.m.),700.0,2,2,3,2.0,,Under Construction,C69153300,sector 92,1010.0,,700.0,0,0,0,0,1,0,24
siddhartha apartment,flat,1.1,4327.0,Carpet area: 2542 (236.16 sq.m.),2542.0,4,3,3,9.0,North,Relatively New,A59296758,sector 95,,,2542.0,0,1,0,0,1,0,22
raheja vanya,flat,0.85,6789.0,Super Built up area 1252(116.31 sq.m.),1252.0,2,2,2,3.0,West,New Property,Q68429406,sector 99a,1252.0,,,0,0,0,0,0,0,43
tata primanti,flat,3.5,11428.0,Built Up area: 2625 (243.87 sq.m.),3063.0,4,5,3+,10.0,West,Relatively New,W8942961,sector 72,,2625.0,,0,1,0,0,1,0,38
shree arihant apartment,flat,1.55,7380.0,Super Built up area 2100(195.1 sq.m.)Built Up area: 2000 sq.ft. (185.81 sq.m.)Carpet area: 1900 sq.ft. (176.52 sq.m.),2100.0,3,3,3+,3.0,North-East,Moderately Old,E68958236,sector 54,2100.0,2000.0,1900.0,0,0,0,1,1,2,125
signature andour heights,flat,0.55,8607.0,Super Built up area 639(59.37 sq.m.)Built Up area: 600 sq.ft. (55.74 sq.m.)Carpet area: 541 sq.ft. (50.26 sq.m.),639.0,2,2,1,7.0,South-East,Relatively New,Y68524014,sector 71,639.0,600.0,541.0,0,0,0,0,0,2,24
m3m skywalk,flat,1.78,12500.0,Carpet area: 1424 (132.29 sq.m.),1424.0,2,2,3+,12.0,,Undefined,D68976426,sector 74,,,1424.0,0,0,0,0,0,0,63
independent,house,14.0,39886.0,Plot area 390(326.09 sq.m.),3510.0,9,9,3+,4.0,North,Moderately Old,,c block sushant lok phase 1,,3510.0,,0,1,0,0,0,0,7
ireo uptown,flat,1.32,11442.0,Super Built up area 1158(107.58 sq.m.),1154.0,2,2,2,6.0,,Relatively New,C70169392,sector 66,1158.0,,,0,0,0,0,0,0,45
hero homes,flat,1.9,11249.0,Super Built up area 1689(156.91 sq.m.)Carpet area: 1082 sq.ft. (100.52 sq.m.),1689.0,3,3,3,16.0,,Under Construction,X69886996,sector 104,1689.0,,1082.0,0,0,0,1,0,2,103
supertech hues,flat,1.0,8474.0,Carpet area: 1180 (109.63 sq.m.),1180.0,2,2,3,23.0,,New Property,U69732050,sector 68,,,1180.0,0,0,0,0,0,0,49
bestech park view grand spa,flat,2.2,8270.0,Super Built up area 2660(247.12 sq.m.)Carpet area: 2300 sq.ft. (213.68 sq.m.),2660.0,3,4,3+,8.0,East,Relatively New,R68344512,sector 81,2660.0,,2300.0,0,1,0,0,0,2,165
smart world orchard,flat,2.5,16139.0,Built Up area: 1549 (143.91 sq.m.),1549.0,3,3,1,1.0,East,Undefined,K69876578,sector 61,,1549.0,,0,0,0,0,0,0,61
corona gracieux,flat,1.08,5510.0,Super Built up area 1960(182.09 sq.m.),1960.0,3,3,3,1.0,,New Property,M56957678,sector 76,1960.0,,,0,1,0,0,0,0,58
independent,house,7.49,27741.0,Plot area 300(250.84 sq.m.),2700.0,12,12,3+,4.0,South-East,Relatively New,,sector 55,,2700.0,,1,1,0,1,0,2,49
central park resorts,flat,3.65,15240.0,Super Built up area 1870(173.73 sq.m.)Built Up area: 1869 sq.ft. (173.64 sq.m.),2395.0,3,3,3+,9.0,North-West,Relatively New,B34721721,sector 48,1870.0,1869.0,,0,0,0,0,1,2,157
greenopolis,flat,0.9,4700.0,Built Up area: 1910 (177.44 sq.m.),1915.0,3,3,0,14.0,,Under Construction,I19370017,sector 89,,1910.0,,0,0,0,0,0,0,67
dlf park place,flat,4.86,25920.0,Super Built up area 1875(174.19 sq.m.),1875.0,3,4,3+,7.0,West,Relatively New,F69409432,sector 54,1875.0,,,0,1,0,0,0,2,49
tulip purple,flat,2.6,10833.0,Super Built up area 2400(222.97 sq.m.),2400.0,4,4,3+,4.0,,Moderately Old,S69725162,sector 69,2400.0,,,0,1,0,0,0,0,37
bptp terra,flat,2.08,10000.0,Super Built up area 2443(226.96 sq.m.),2080.0,4,4,3,0.0,North-East,New Property,H69558740,sector 37,2443.0,,,1,1,0,1,0,0,121
independent,house,0.36,8000.0,Built Up area: 450 (41.81 sq.m.),450.0,1,1,0,1.0,,Undefined,,sector 9,,450.0,,0,0,0,0,0,0,0
pyramid urban,flat,0.56,7928.0,Carpet area: 700 (65.03 sq.m.),706.0,2,2,2,0.0,North-East,Relatively New,V69823998,sector 67,,,700.0,0,0,0,0,1,0,49
rof ananda,flat,0.55,5500.0,Super Built up area 1000(92.9 sq.m.)Carpet area: 745 sq.ft. (69.21 sq.m.),1000.0,3,2,2,14.0,East,New Property,O69600598,sector 95,1000.0,,745.0,1,0,0,0,0,1,30
emaar mgf the palm drive,flat,2.85,14615.0,Super Built up area 1950(181.16 sq.m.)Built Up area: 1920 sq.ft. (178.37 sq.m.)Carpet area: 1550 sq.ft. (144 sq.m.),1950.0,3,3,3,11.0,North-East,Relatively New,B67722588,sector 66,1950.0,1920.0,1550.0,1,0,0,0,0,2,67
kibithu villas,flat,3.45,12777.0,Carpet area: 2700 (250.84 sq.m.),2700.0,4,4,3+,2.0,,Undefined,N69737906,sector 48,,,2700.0,0,0,0,0,0,0,0
independent,house,8.25,30556.0,Plot area 300(250.84 sq.m.),2700.0,5,6,3+,3.0,West,Moderately Old,,b block sushant lok phase 1,,2700.0,,1,1,1,1,0,2,64
chintamani,flat,1.57,8509.0,Built Up area: 1845 (171.41 sq.m.)Carpet area: 1350 sq.ft. (125.42 sq.m.),1845.0,3,3,3,1.0,North-East,Undefined,K69908978,sector 103,,1845.0,1350.0,0,0,0,0,0,0,0
uppal southend,house,6.75,32328.0,Plot area 232(193.98 sq.m.),2088.0,12,12,3+,3.0,North,Moderately Old,,sector 49,,2088.0,,1,1,0,1,1,2,49
paras dews,flat,1.2,11605.0,Super Built up area 1665(154.68 sq.m.)Built Up area: 1145 sq.ft. (106.37 sq.m.)Carpet area: 1034 sq.ft. (96.06 sq.m.),1034.0,3,3,3,12.0,North-West,Relatively New,P69532002,sector 106,1665.0,1145.0,1034.0,1,0,0,0,0,0,158
shree vardhman victoria,flat,1.9,9743.0,Super Built up area 1950(181.16 sq.m.),1950.0,3,3,3,10.0,North-East,New Property,S31689979,sector 70,1950.0,,,0,1,1,1,1,0,36
godrej aria,flat,1.1,7772.0,Super Built up area 1351(125.51 sq.m.),1415.0,2,2,3+,4.0,North-East,New Property,R68188116,sector 79,1351.0,,,0,0,0,0,0,2,49
shree vardhman victoria,flat,1.55,7948.0,Super Built up area 1950(181.16 sq.m.)Carpet area: 1161 sq.ft. (107.86 sq.m.),1950.0,3,3,3,6.0,South-East,Relatively New,U69660564,sector 70,1950.0,,1161.0,1,1,0,1,1,0,49
ireo victory valley,flat,3.05,12650.0,Super Built up area 2411(223.99 sq.m.)Carpet area: 1688 sq.ft. (156.82 sq.m.),2411.0,3,3,3+,21.0,South-West,Relatively New,F68711924,sector 67,2411.0,,1688.0,0,1,0,0,0,2,157
kiran residency,flat,1.5,7500.0,Super Built up area 2000(185.81 sq.m.)Built Up area: 1900 sq.ft. (176.52 sq.m.)Carpet area: 1800 sq.ft. (167.23 sq.m.),2000.0,3,3,3+,4.0,North,Relatively New,W69731696,sector 56,2000.0,1900.0,1800.0,0,1,0,0,0,2,126
shapoorji pallonji joyville gurugram,flat,1.35,9933.0,Super Built up area 1359(126.26 sq.m.),1359.0,2,2,2,9.0,North-East,Relatively New,M69125514,sector 102,1359.0,,,0,0,0,0,0,0,100
independent,house,2.25,6944.0,Plot area 360(301.01 sq.m.),3240.0,36,36,2,3.0,East,Moderately Old,,sector 14,,3240.0,,0,1,0,0,0,0,7
signature global park,flat,0.58,7056.0,Built Up area: 822 (76.37 sq.m.)Carpet area: 600 sq.ft. (55.74 sq.m.),822.0,2,2,2,3.0,,Undefined,X69816370,sector 36,,822.0,600.0,0,0,0,0,0,0,58
m3m golfestate,flat,5.9,17543.0,Super Built up area 3363(312.43 sq.m.),3363.0,3,3,3,9.0,,Moderately Old,Y70109168,sector 65,3363.0,,,1,0,0,0,0,1,21
sare crescent parc,flat,0.8,4210.0,Super Built up area 1900(176.52 sq.m.),1900.0,4,3,2,10.0,East,Relatively New,G46888525,sector 92,1900.0,,,0,0,0,0,1,0,37
independent,house,23.0,25556.0,Plot area 1000(836.13 sq.m.),9000.0,4,4,3+,2.0,South-West,Relatively New,,sector 26,,9000.0,,1,1,1,1,0,2,145
vatika the seven lamps,flat,0.86,6022.0,Super Built up area 1430(132.85 sq.m.),1428.0,2,2,2,12.0,East,Relatively New,K69141940,sector 82,1430.0,,,1,0,0,0,0,2,135
aipl the peaceful homes,flat,2.8,11914.0,Super Built up area 2350(218.32 sq.m.)Carpet area: 1322 sq.ft. (122.82 sq.m.),2350.0,3,4,3,22.0,North-East,Relatively New,N70121956,sector 70,2350.0,,1322.0,0,1,0,0,0,0,49
rof ananda,flat,0.37,5744.0,Carpet area: 644.12 (59.84 sq.m.),644.0,3,2,1,6.0,South-East,Relatively New,X69978608,sector 95,,,644.111776,0,0,0,1,0,2,72
unitech aspen greens,house,6.8,31481.0,Plot area 240(200.67 sq.m.)Built Up area: 220 sq.yards (183.95 sq.m.)Carpet area: 200 sq.yards (167.23 sq.m.),2160.0,4,5,3,3.0,West,Old Property,,sector 50,,220.0,200.0,1,1,0,0,0,2,111
the lions cghs,flat,2.09,8708.0,Super Built up area 2400(222.97 sq.m.)Built Up area: 2300 sq.ft. (213.68 sq.m.)Carpet area: 2200 sq.ft. (204.39 sq.m.),2400.0,4,4,3+,7.0,East,Relatively New,R69165780,sector 56,2400.0,2300.0,2200.0,0,0,0,0,1,2,125
ireo uptown,flat,4.85,12999.0,Super Built up area 3731(346.62 sq.m.)Built Up area: 3500 sq.ft. (325.16 sq.m.)Carpet area: 3300 sq.ft. (306.58 sq.m.),3731.0,4,4,3+,15.0,North,Relatively New,M70162658,sector 66,3731.0,3500.0,3300.0,1,1,1,1,0,2,156
independent,house,2.25,9615.0,Plot area 260(217.39 sq.m.)Built Up area: 250 sq.yards (209.03 sq.m.)Carpet area: 245 sq.yards (204.85 sq.m.),2340.0,3,2,1,1.0,North-East,Old Property,,sector 10,,250.0,245.0,0,1,0,1,0,0,8
manohar nagar,house,5.6,12444.0,Plot area 500(418.06 sq.m.)Built Up area: 500 sq.yards (418.06 sq.m.),4500.0,34,34,3+,4.0,,New Property,,sector 10,,500.0,,0,0,0,0,0,2,0
unitech deerwood chase,house,15.0,33333.0,Plot area 500(418.06 sq.m.),4500.0,4,4,2,2.0,West,Moderately Old,,sector 50,,4500.0,,0,1,0,0,0,0,160
shree vardhman victoria,flat,1.25,9259.0,Super Built up area 1350(125.42 sq.m.),1350.0,2,2,3,3.0,East,Relatively New,T69936934,sector 70,1350.0,,,1,0,0,0,0,0,43
saan verdante,flat,2.0,10178.0,Super Built up area 1965(182.55 sq.m.)Carpet area: 1935 sq.ft. (179.77 sq.m.),1965.0,3,4,3+,5.0,North,New Property,U70096330,sector 95,1965.0,,1935.0,0,1,0,0,0,0,49
smart world orchard,flat,1.47,12250.0,Carpet area: 1200 (111.48 sq.m.),1200.0,2,2,2,2.0,,Under Construction,S68849476,sector 61,,,1200.0,1,0,0,0,0,0,76
vipul tatvam villa,house,8.4,21000.0,Plot area 4000(371.61 sq.m.),4000.0,4,5,3+,2.0,North,Moderately Old,,sector 48,,4000.0,,1,1,0,1,0,2,49
emaar mgf emerald floors premier,flat,2.4,14545.0,Super Built up area 1650(153.29 sq.m.)Built Up area: 1600 sq.ft. (148.64 sq.m.)Carpet area: 1250 sq.ft. (116.13 sq.m.),1650.0,3,3,3,3.0,East,Relatively New,X69990764,sector 65,1650.0,1600.0,1250.0,1,1,0,0,0,2,49
la vida by tata housing,flat,1.45,11363.0,Super Built up area 1276(118.54 sq.m.)Carpet area: 904.01 sq.ft. (83.99 sq.m.),1276.0,2,2,2,6.0,South,Relatively New,F60843478,sector 113,1276.0,,904.01,0,0,0,0,0,0,80
ss the leaf,flat,2.1,7467.0,Super Built up area 2812(261.24 sq.m.)Built Up area: 2600 sq.ft. (241.55 sq.m.)Carpet area: 2400 sq.ft. (222.97 sq.m.),2812.0,4,4,3,7.0,North,Relatively New,F70087658,sector 85,2812.0,2600.0,2400.0,1,1,0,1,0,0,49
puri emerald bay,flat,2.3,9387.0,Super Built up area 2450(227.61 sq.m.),2450.0,3,4,3+,10.0,North-East,Moderately Old,J69578070,sector 104,2450.0,,,0,1,0,0,0,0,101
ats tourmaline,flat,1.4,8000.0,Super Built up area 1750(162.58 sq.m.)Built Up area: 1466 sq.ft. (136.2 sq.m.),1750.0,3,3,3+,5.0,East,Relatively New,F68897920,sector 109,1750.0,1466.0,,0,0,0,0,0,0,44
independent,house,4.0,19753.0,Built Up area: 225 (188.13 sq.m.)Carpet area: 180 sq.yards (150.5 sq.m.),2025.0,5,4,1,2.0,North-East,Undefined,,sector 11,,225.0,180.0,0,0,0,0,0,0,0
emaar gurgaon greens,flat,1.45,14179.0,Super Built up area 1650(153.29 sq.m.)Carpet area: 1022.58 sq.ft. (95 sq.m.),1023.0,3,3,3,10.0,North-East,Relatively New,D69431806,sector 102,1650.0,,1022.58,0,1,0,0,0,0,165
piedmont taksila heights,flat,0.9,5855.0,Built Up area: 1537 (142.79 sq.m.),1537.0,3,3,3,9.0,South-West,Moderately Old,M69655182,sector 37c,,1537.0,,0,0,0,0,0,2,94
supertech araville,flat,0.8,5266.0,Carpet area: 1519 (141.12 sq.m.),1519.0,2,2,2,12.0,,New Property,G68851842,sector 79,,,1519.0,1,0,0,0,0,0,49
