society,property_type,price,price_per_sqft,areaWithType,area,bedRoom,bathroom,balcony,floorNum,facing,agePossession,property_id,sector,super_built_up_area,built_up_area,carpet_area,study room,servant room,store room,pooja room,others,furnishing_type,luxury_score
satya the hermitage,flat,0.8,5517.0,Built Up area: 1450 (134.71 sq.m.),1450.0,2,2,0,10.0,,Undefined,U69277026,sector 103,,1450.0,,0,0,0,0,0,0,61
piedmont taksila heights,flat,1.05,4792.0,Super Built up area 1920(178.37 sq.m.),2191.0,3,3,3,7.0,,Relatively New,M38858307,sector 37c,1920.0,,,0,0,0,0,0,2,81
zara aavaas,flat,0.65,8519.0,Carpet area: 763 (70.89 sq.m.),763.0,3,2,2,7.0,,New Property,X69156292,sector 104,,,763.0,0,0,0,0,0,0,65
paras dews,flat,1.17,6647.0,Super Built up area 1760(163.51 sq.m.)Built Up area: 1186 sq.ft. (110.18 sq.m.)Carpet area: 1130 sq.ft. (104.98 sq.m.),1760.0,3,4,3+,12.0,West,Relatively New,C69430468,sector 106,1760.0,1186.0,1130.0,0,1,0,0,0,0,49
antriksh heights,flat,0.84,4869.0,Super Built up area 1725(160.26 sq.m.),1725.0,3,3,3+,8.0,,New Property,G69088060,sector 84,1725.0,,,0,0,0,1,0,0,60
tata primanti,flat,5.0,11363.0,Super Built up area 4400(408.77 sq.m.)Built Up area: 4000 sq.ft. (371.61 sq.m.)Carpet area: 3500 sq.ft. (325.16 sq.m.),4400.0,4,4,3+,2.0,North-East,New Property,V69925314,sector 72,4400.0,4000.0,3500.0,1,1,1,0,0,2,174
independent,house,0.74,7400.0,Built Up area: 1000 (92.9 sq.m.),1000.0,3,3,0,2.0,,Undefined,,sector 105,,1000.0,,0,0,0,0,0,0,0
experion the heartsong,flat,2.28,8204.0,Super Built up area 2779(258.18 sq.m.),2779.0,4,5,3+,8.0,North,Relatively New,G69550184,sector 108,2779.0,,,0,0,0,0,0,0,101
independent,house,0.4,7619.0,Carpet area: 525 (48.77 sq.m.),525.0,2,2,1,1.0,,Relatively New,,sector 110,,,525.0,0,0,0,0,0,0,0
independent,house,1.25,11574.0,Plot area 120(100.34 sq.m.)Built Up area: 120 sq.yards (100.34 sq.m.),1080.0,5,5,1,2.0,South,New Property,,sector 6,,120.0,,0,0,0,1,0,0,0
sbtl caladium,flat,1.2,6382.0,Super Built up area 1880(174.66 sq.m.),1880.0,3,2,2,8.0,South,Relatively New,R68625608,sector 109,1880.0,,,0,0,0,0,0,0,151
dlf the primus,flat,1.87,10394.0,Super Built up area 1799(167.13 sq.m.)Carpet area: 1538 sq.ft. (142.88 sq.m.),1799.0,3,3,3,31.0,East,Moderately Old,O68656188,sector 82,1799.0,,1538.0,0,0,0,1,0,0,38
ganpati heights apartment,house,1.25,151.0,Plot area 115(7692.86 sq.m.),82781.0,10,6,2,3.0,South-East,Old Property,,sector 13,,115.0,,0,0,0,0,1,0,7
bhim nagar society,house,0.4,2500.0,Built Up area: 1600 (148.64 sq.m.)Carpet area: 800 sq.ft. (74.32 sq.m.),1600.0,4,2,2,1.0,East,Undefined,,sector 6,,1600.0,800.0,0,0,0,0,0,0,0
independent,house,5.65,23870.0,Plot area 263(219.9 sq.m.),2367.0,8,6,3+,3.0,South-West,Moderately Old,,sector 46,,2367.0,,0,1,0,0,0,2,67
uppal southend,house,3.75,25562.0,Built Up area: 163 (136.29 sq.m.),1467.0,6,6,3+,3.0,East,Moderately Old,,sector 49,,163.0,,1,0,0,0,0,2,26
independent,house,3.69,23699.0,Plot area 173(144.65 sq.m.),1557.0,4,4,2,2.0,East,Moderately Old,,sector 31,,1557.0,,1,1,0,1,0,2,75
dlf the skycourt,flat,1.5,9740.0,Super Built up area 1929(179.21 sq.m.)Built Up area: 1780 sq.ft. (165.37 sq.m.)Carpet area: 1540 sq.ft. (143.07 sq.m.),1540.0,3,3,3+,18.0,West,Relatively New,Z69657480,sector 86,1929.0,1780.0,1540.0,1,0,0,0,0,0,174
madan puri,house,0.75,12500.0,Plot area 600(55.74 sq.m.),600.0,3,5,3,3.0,South-East,Moderately Old,,sector 7,,600.0,,0,0,0,0,0,0,0
independent,house,1.5,14245.0,Plot area 117(97.83 sq.m.),1053.0,2,3,2,1.0,North,New Property,,sohna,,1053.0,,1,0,0,1,0,2,69
independent,house,2.25,6944.0,Carpet area: 360 (301.01 sq.m.),3240.0,10,10,2,1.0,East,Undefined,,sector 13,,,360.0,0,0,0,0,0,0,0
ardee city,house,2.25,16071.0,Plot area 2160(200.67 sq.m.)Built Up area: 1800 sq.ft. (167.23 sq.m.)Carpet area: 1400 sq.ft. (130.06 sq.m.),1400.0,3,3,3,4.0,South-East,New Property,,sector 52,,1800.0,1400.0,0,1,0,0,0,2,22
assotech blith,flat,0.92,6739.0,Super Built up area 1365(126.81 sq.m.),1365.0,2,2,3+,22.0,,Under Construction,K68182666,sector 99,1365.0,,,0,0,0,0,0,0,56
independent,house,1.45,12393.0,Plot area 130(108.7 sq.m.)Built Up area: 130 sq.yards (108.7 sq.m.)Carpet area: 100 sq.yards (83.61 sq.m.),1170.0,4,4,2,2.0,North,Old Property,,sector 15,,130.0,100.0,0,0,0,0,1,0,13
sare green parc,flat,0.85,6741.0,Built Up area: 1261 (117.15 sq.m.),1261.0,3,2,2,14.0,,Undefined,Q69238056,sector 92,,1261.0,,0,0,0,0,0,0,0
mrg world ultimus,flat,0.5,6983.0,Carpet area: 716 (66.52 sq.m.),716.0,2,2,2,1.0,North-East,Under Construction,K68195520,sector 90,,,716.0,0,0,0,0,0,0,21
orris aster court premier,flat,1.2,5660.0,Super Built up area 2120(196.95 sq.m.)Built Up area: 1650 sq.ft. (153.29 sq.m.)Carpet area: 1550 sq.ft. (144 sq.m.),2120.0,3,4,2,6.0,North-East,Relatively New,W69123064,sector 85,2120.0,1650.0,1550.0,0,1,0,0,0,0,28
nul,house,6.25,34722.0,Plot area 200(167.23 sq.m.),1800.0,5,5,3,2.0,East,Moderately Old,,sector 25,,1800.0,,0,1,0,1,0,2,112
park royal apartment,flat,1.71,7600.0,Built Up area: 2251 (209.12 sq.m.)Carpet area: 2250 sq.ft. (209.03 sq.m.),2250.0,3,3,3+,5.0,North-East,Moderately Old,R68680194,sector 56,,2251.0,2250.0,0,1,0,0,0,2,118
independent,house,0.55,5000.0,Built Up area: 1100 (102.19 sq.m.),1100.0,2,1,0,1.0,,Undefined,,sector 5,,1100.0,,0,0,0,0,0,0,0
independent,house,5.5,2716.0,Plot area 215(179.77 sq.m.)Built Up area: 2850 sq.yards (2382.96 sq.m.)Carpet area: 2250 sq.yards (1881.29 sq.m.),20250.0,8,7,3+,3.0,East,Moderately Old,,sector 43,,2850.0,2250.0,1,1,0,1,1,2,123
la vida by tata housing,flat,2.78,10334.0,Super Built up area 2690(249.91 sq.m.)Built Up area: 2350 sq.ft. (218.32 sq.m.)Carpet area: 2170 sq.ft. (201.6 sq.m.),2690.0,3,4,3+,5.0,North-East,Relatively New,M68451874,sector 113,2690.0,2350.0,2170.0,0,1,0,0,0,0,174
smart world gems,flat,0.86,7796.0,Carpet area: 1103 (102.47 sq.m.),1103.0,2,3,2,4.0,North-East,New Property,G66179018,sector 89,,,1103.0,1,1,0,1,0,2,72
independent,house,3.2,14222.0,Plot area 250(209.03 sq.m.),2250.0,3,3,2,2.0,,Old Property,,sector 4,,2250.0,,0,0,0,0,0,0,13
bestech altura,flat,1.85,8604.0,Super Built up area 2150(199.74 sq.m.)Built Up area: 1650 sq.ft. (153.29 sq.m.)Carpet area: 1350 sq.ft. (125.42 sq.m.),2150.0,3,3,3,7.0,,New Property,Z70038990,sector 79,2150.0,1650.0,1350.0,0,1,0,0,0,0,53
dlf the ultima,flat,3.5,11686.0,Super Built up area 2995(278.24 sq.m.)Carpet area: 2200 sq.ft. (204.39 sq.m.),2995.0,4,5,3+,7.0,North-East,Relatively New,L70015174,sector 81,2995.0,,2200.0,0,1,0,0,0,1,174
umang monsoon breeze,flat,0.8,4836.0,Super Built up area 1654(153.66 sq.m.)Built Up area: 1472 sq.ft. (136.75 sq.m.)Carpet area: 1310 sq.ft. (121.7 sq.m.),1654.0,3,2,2,7.0,South,Moderately Old,U69662826,sector 78,1654.0,1472.0,1310.0,0,0,0,1,0,0,102
sare homes,flat,0.8,5252.0,Carpet area: 1523 (141.49 sq.m.),1523.0,3,3,3,7.0,North-West,Relatively New,O69809178,sector 92,,,1523.0,1,0,0,0,0,2,80
shree arihant apartment,flat,1.55,8611.0,Super Built up area 2000(185.81 sq.m.)Built Up area: 1900 sq.ft. (176.52 sq.m.)Carpet area: 1800 sq.ft. (167.23 sq.m.),1800.0,3,3,3,3.0,North-East,Moderately Old,U69772026,sector 54,2000.0,1900.0,1800.0,0,1,0,0,0,2,109
independent,house,2.8,18667.0,Built Up area: 1500 (139.35 sq.m.),1500.0,4,4,0,2.0,,Undefined,,sector 55,,1500.0,,0,0,0,0,0,0,0
uphaar residency 2,flat,0.42,5600.0,Carpet area: 750 (69.68 sq.m.),750.0,3,2,1,0.0,East,Moderately Old,V66177344,sector 105,,,750.0,0,0,0,0,1,0,7
antriksh heights,flat,1.02,4868.0,Super Built up area 2095(194.63 sq.m.),2095.0,4,4,3+,11.0,North,Relatively New,K67426782,sector 84,2095.0,,,0,1,0,1,0,0,99
the lions cghs,flat,1.99,11055.0,Super Built up area 2400(222.97 sq.m.)Built Up area: 2000 sq.ft. (185.81 sq.m.)Carpet area: 1800 sq.ft. (167.23 sq.m.),1800.0,4,4,3+,4.0,East,Old Property,T68585622,sector 56,2400.0,2000.0,1800.0,0,0,0,1,1,2,105
independent,house,5.25,38889.0,Plot area 163(136.29 sq.m.)Built Up area: 160 sq.yards (133.78 sq.m.)Carpet area: 150 sq.yards (125.42 sq.m.),1350.0,4,4,3+,2.0,East,Relatively New,,sector 24,,160.0,150.0,0,1,0,1,0,2,72
independent,house,5.75,29716.0,Plot area 215(179.77 sq.m.),1935.0,4,4,2,2.0,North,Old Property,,c block sushant lok phase 1,,1935.0,,0,1,1,1,0,0,34
tulip violet,flat,1.19,8814.0,Carpet area: 1350 (125.42 sq.m.),1350.0,2,3,1,0.0,West,Relatively New,X69575972,sector 69,,,1350.0,1,0,0,0,0,2,174
independent,house,0.9,10000.0,Plot area 100(83.61 sq.m.)Built Up area: 250 sq.yards (209.03 sq.m.)Carpet area: 170 sq.yards (142.14 sq.m.),900.0,4,5,3,3.0,West,New Property,,sector 10,,250.0,170.0,0,0,0,0,1,0,14
dlf regal gardens,flat,1.13,6647.0,Super Built up area 1730(160.72 sq.m.),1700.0,3,3,3+,8.0,North,Relatively New,S44698755,sector 90,1730.0,,,0,0,0,0,1,0,72
