society,property_type,price,price_per_sqft,areaWithType,area,bedRoom,bathroom,balcony,floorNum,facing,agePossession,property_id,sector,super_built_up_area,built_up_area,carpet_area,study room,servant room,store room,pooja room,others,furnishing_type,luxury_score,area_room_ratio
vipul tatvam villa,house,22.0,26667.0,Plot area 1000(836.13 sq.m.),8250.0,5.0,6,3,3.0,,Moderately Old,,sector 48,,1000.0,,0,1,0,0,0,0,54,1650.0
independent,house,5.5,23061.0,Plot area 265(221.57 sq.m.),2385.0,8.0,8,3+,3.0,,Moderately Old,,sector 46,,2385.0,,1,0,0,0,1,2,32,298.125
m3m woodshire,flat,0.8,5857.0,Super Built up area 1366(126.91 sq.m.),1366.0,2.0,2,3+,7.0,North-East,Relatively New,N69548734,sector 107,1366.0,,,0,0,0,0,0,2,165,683.0
indiabulls centrum park,flat,2.45,8522.0,Super Built up area 2875(267.1 sq.m.),2875.0,4.0,6,3,5.0,,Relatively New,V69714126,sector 103,2875.0,,,0,1,0,0,0,0,38,718.75
sbr minda sec 1 imt manesar,flat,0.65,4260.0,Carpet area: 1526 (141.77 sq.m.),1526.0,3.0,2,3+,6.0,South,Moderately Old,X68197106,sector 1a,,,1526.0,0,0,0,0,0,0,5,508.6666666666667
godrej air,flat,1.4,10000.0,Built Up area: 1400 (130.06 sq.m.)Carpet area: 900 sq.ft. (83.61 sq.m.),1400.0,2.0,2,3,23.0,,Undefined,J69836484,sector 85,,1400.0,900.0,0,0,0,0,0,0,44,700.0
sare crescent parc,flat,0.92,4855.0,Built Up area: 1895 (176.05 sq.m.)Carpet area: 1600 sq.ft. (148.64 sq.m.),1895.0,4.0,5,3+,14.0,North-East,Moderately Old,R20109583,sector 92,,1895.0,1600.0,0,0,0,0,0,2,131,473.75
suposhaa smartworld orchard,flat,2.25,14526.0,Carpet area: 1549 (143.91 sq.m.),1549.0,3.0,3,2,3.0,,Under Construction,P69302034,sector 61,,,1549.0,0,0,0,0,0,0,0,516.3333333333334
orris carnation residency,flat,1.1,6687.0,Super Built up area 1645(152.83 sq.m.)Carpet area: 1300 sq.ft. (120.77 sq.m.),1645.0,3.0,4,3,6.0,East,Moderately Old,J69346106,sector 85,1645.0,,1300.0,0,1,0,0,0,1,65,548.3333333333334
independent,house,4.45,32963.0,Plot area 150(125.42 sq.m.),1350.0,4.0,3,3+,2.0,West,Moderately Old,,sector 25,,1350.0,,0,0,1,0,0,0,79,337.5
bptp terra,flat,1.77,8079.0,Super Built up area 2191(203.55 sq.m.)Carpet area: 1860 sq.ft. (172.8 sq.m.),2191.0,4.0,3,3,15.0,North,Relatively New,J70023084,sector 37,2191.0,,1860.0,1,1,0,1,1,0,49,547.75
ss the leaf,flat,1.75,7267.0,Super Built up area 2408(223.71 sq.m.),2408.0,3.0,4,3,8.0,North,Relatively New,B69418558,sector 85,2408.0,,,0,1,0,0,0,0,49,802.6666666666666
tulip monsella,flat,7.4,33199.0,Carpet area: 2229 (207.08 sq.m.),2229.0,4.0,4,3,21.0,,Under Construction,A66658898,sector 53,,,2229.0,0,0,0,0,0,0,35,557.25
alpha corp gurgaonone,flat,1.52,7904.0,Super Built up area 1923(178.65 sq.m.)Carpet area: 1500 sq.ft. (139.35 sq.m.),1923.0,3.0,4,3,15.0,South,Relatively New,C69570590,sector 84,1923.0,,1500.0,0,1,0,0,0,0,92,641.0
ramsons kshitij,flat,0.19,591.0,Carpet area: 3212 (298.4 sq.m.),3215.0,1.0,1,1,14.0,East,Relatively New,T70043008,sector 95,,,3212.0,0,0,0,0,0,0,49,3215.0
puri diplomatic greens,flat,3.7,12542.0,Super Built up area 2950(274.06 sq.m.)Built Up area: 2650 sq.ft. (246.19 sq.m.)Carpet area: 2450 sq.ft. (227.61 sq.m.),2950.0,4.0,5,3+,12.0,South-East,Relatively New,J66379228,sector 111,2950.0,2650.0,2450.0,0,1,0,0,0,2,158,737.5
dlf regal gardens,flat,1.79,8081.0,Carpet area: 2215 (205.78 sq.m.),2215.0,4.0,3,3+,10.0,North-East,Moderately Old,M62323566,sector 90,,,2215.0,0,0,0,0,0,0,63,553.75
orchid petals,flat,2.09,11579.0,Super Built up area 1805(167.69 sq.m.),1805.0,3.0,3,3,0.0,South,Relatively New,T70024810,sector 49,1805.0,,,0,0,0,0,0,0,49,601.6666666666666
independent,house,8.49,31444.0,Plot area 300(250.84 sq.m.),2700.0,3.0,3,2,4.0,North,Relatively New,,b block sushant lok phase 1,,2700.0,,0,1,0,1,0,2,21,900.0
emaar mgf emerald floors premier,flat,3.5,17722.0,Super Built up area 1975(183.48 sq.m.),1975.0,4.0,4,3,4.0,East,Relatively New,J69641084,sector 65,1975.0,,,0,1,0,0,0,0,114,493.75
independent,house,2.25,15625.0,Plot area 160(133.78 sq.m.),1440.0,3.0,3,2,2.0,North-West,Old Property,,sector 7,,1440.0,,0,0,0,0,0,2,27,480.0
bestech altura,flat,1.72,8398.0,Built Up area: 2050 (190.45 sq.m.),2048.0,3.0,4,3,9.0,East,New Property,R70191744,sector 79,,2050.0,,0,0,0,0,0,0,49,682.6666666666666
housing board colony,flat,0.3,7317.0,Super Built up area 510(47.38 sq.m.)Carpet area: 410 sq.ft. (38.09 sq.m.),410.0,1.0,1,2,0.0,South,Old Property,W70010054,sector 51,510.0,,410.0,0,0,0,0,0,0,0,410.0
smart world gems,flat,1.13,8503.0,Carpet area: 1326 (123.19 sq.m.),1329.0,3.0,3,2,4.0,,Under Construction,T66285492,sector 89,,,1326.0,1,0,0,0,0,0,115,443.0
dlf the belaire,flat,10.0,24558.0,Super Built up area 4072(378.3 sq.m.)Built Up area: 3000 sq.ft. (278.71 sq.m.)Carpet area: 2800 sq.ft. (260.13 sq.m.),4072.0,4.0,5,3+,17.0,North,Moderately Old,A69548058,sector 54,4072.0,3000.0,2800.0,0,1,0,0,0,1,167,1018.0
tulip violet,flat,1.31,8518.0,Super Built up area 1538(142.88 sq.m.),1538.0,3.0,3,2,12.0,East,Relatively New,V69215690,sector 69,1538.0,,,0,0,0,1,0,2,174,512.6666666666666
godrej aria,flat,0.95,6552.0,Carpet area: 1450 (134.71 sq.m.),1450.0,2.0,2,3,5.0,East,Relatively New,Q69380914,sector 79,,,1450.0,0,0,0,0,0,2,174,725.0
signature global city 81,house,0.75,6849.0,Plot area 1095(101.73 sq.m.),1095.0,3.0,2,3,4.0,East,Under Construction,,sector 81,,1095.0,,1,0,0,0,0,0,97,365.0
vipul tatvam villa,house,7.25,22377.0,Plot area 360(33.45 sq.m.),3240.0,4.0,4,3,2.0,,Relatively New,,sector 48,,360.0,,1,1,1,1,0,2,103,810.0
m3m skywalk,flat,2.25,12500.0,Super Built up area 2000(185.81 sq.m.)Built Up area: 1900 sq.ft. (176.52 sq.m.)Carpet area: 1800 sq.ft. (167.23 sq.m.),1800.0,3.0,3,3,5.0,North-East,Relatively New,S69816868,sector 74,2000.0,1900.0,1800.0,1,0,0,0,0,0,174,600.0
avl 36 gurgaon,flat,0.75,7500.0,Super Built up area 1000(92.9 sq.m.)Carpet area: 727 sq.ft. (67.54 sq.m.),1000.0,2.0,2,2,5.0,North-East,Relatively New,C69135414,sector 36a,1000.0,,727.0,0,0,0,0,0,0,26,500.0
independent,house,9.0,28490.0,Plot area 351(293.48 sq.m.),3159.0,10.0,10,3,3.0,East,Old Property,,sector 25,,3159.0,,0,0,0,1,0,2,64,315.9
hsiidc sidco aravali,flat,0.9,3478.0,Super Built up area 2588(240.43 sq.m.)Built Up area: 1900 sq.ft. (176.52 sq.m.),2588.0,3.0,3,3,2.0,,Old Property,L70035366,sector 1,2588.0,1900.0,,0,1,0,0,0,1,21,862.6666666666666
tata primanti,flat,3.3,15385.0,Super Built up area 2145(199.28 sq.m.)Built Up area: 2000 sq.ft. (185.81 sq.m.)Carpet area: 1800 sq.ft. (167.23 sq.m.),2145.0,3.0,3,3+,10.0,North-East,Relatively New,G69966132,sector 72,2145.0,2000.0,1800.0,0,1,0,0,0,2,165,715.0
m3m sierra 68,flat,1.1,8987.0,Super Built up area 1224(113.71 sq.m.)Built Up area: 1150 sq.ft. (106.84 sq.m.)Carpet area: 830 sq.ft. (77.11 sq.m.),1224.0,2.0,2,3,1.0,North-East,Relatively New,P69235928,sector 68,1224.0,1150.0,830.0,0,0,0,0,0,2,127,612.0
raheja revanta,flat,1.2,10017.0,Super Built up area 1197.8(111.28 sq.m.)Carpet area: 505 sq.ft. (46.92 sq.m.),1198.0,1.0,2,2,32.0,,Under Construction,P59185856,sector 78,1197.8,,505.0,0,0,0,0,0,0,39,1198.0
signature global synera,flat,0.31,7434.0,Super Built up area 417(38.74 sq.m.)Carpet area: 320 sq.ft. (29.73 sq.m.),417.0,1.0,1,1,13.0,North,Relatively New,B69809430,sector 81,417.0,,320.0,0,0,0,0,0,1,123,417.0
independent,house,1.34,5000.0,Built Up area: 2680 (248.98 sq.m.),2680.0,1.0,1,0,1.0,,Undefined,,sector 108,,2680.0,,0,0,0,0,0,0,0,2680.0
tulip violet,flat,1.65,8871.0,Built Up area: 1578 (146.6 sq.m.),1860.0,3.0,3,2,1.0,,Relatively New,B66250438,sector 69,,1578.0,,0,0,0,0,0,2,69,620.0
ats tourmaline,flat,1.4,8000.0,Super Built up area 1750(162.58 sq.m.),1750.0,3.0,3,3+,9.0,East,Relatively New,P69511818,sector 109,1750.0,,,0,0,0,0,0,0,95,583.3333333333334
independent,house,3.6,19608.0,Plot area 204(170.57 sq.m.),1836.0,3.0,4,3,3.0,North,Moderately Old,,sector 10,,1836.0,,0,0,0,1,0,2,28,612.0
orris carnation residency,flat,0.8,4857.0,Super Built up area 1645(152.83 sq.m.)Built Up area: 1390 sq.ft. (129.14 sq.m.)Carpet area: 1275 sq.ft. (118.45 sq.m.),1647.0,3.0,4,3,4.0,West,Relatively New,Y69459254,sector 85,1645.0,1390.0,1275.0,0,1,0,0,0,2,40,549.0
m3m golfestate,flat,5.0,18519.0,Super Built up area 2979(276.76 sq.m.)Built Up area: 2800 sq.ft. (260.13 sq.m.)Carpet area: 2700 sq.ft. (250.84 sq.m.),2700.0,3.0,3,3+,28.0,North-East,Relatively New,N69817180,sector 65,2979.0,2800.0,2700.0,0,1,0,1,0,2,165,900.0
sare homes,flat,0.5,4237.0,Super Built up area 1180(109.63 sq.m.),1180.0,3.0,3,2,1.0,North,Relatively New,Y69744558,sector 92,1180.0,,,0,0,0,0,0,0,26,393.3333333333333
raheja atharva,flat,1.6,5319.0,Built Up area: 3008 (279.45 sq.m.),3008.0,4.0,1,0,0.0,,New Property,O69280216,sector 109,,3008.0,,0,0,0,0,0,0,0,752.0
emaar mgf emerald floors premier,flat,2.8,14177.0,Carpet area: 1975 (183.48 sq.m.),1975.0,4.0,4,3,2.0,South,Relatively New,S63409022,sector 65,,,1975.0,1,1,0,0,0,2,108,493.75
vatika lifestyle homes,flat,1.1,6268.0,Super Built up area 1755(163.04 sq.m.),1755.0,3.0,3,2,8.0,South,Relatively New,Y69590980,sector 83,1755.0,,,1,0,1,1,0,2,174,585.0
independent,house,3.1,13778.0,Plot area 250(209.03 sq.m.),2250.0,3.0,3,2,2.0,North-West,Old Property,,sector 7,,2250.0,,0,0,0,0,0,0,22,750.0
orris aster court,flat,0.69,5219.0,Super Built up area 1312(121.89 sq.m.)Built Up area: 1075 sq.ft. (99.87 sq.m.)Carpet area: 975 sq.ft. (90.58 sq.m.),1322.0,2.0,2,2,5.0,South-West,Relatively New,L69846120,sector 85,1312.0,1075.0,975.0,0,0,0,0,0,0,37,661.0
independent,house,0.66,7166.0,Built Up area: 823 (76.46 sq.m.),921.0,2.0,2,3,4.0,,New Property,,sector 36,,823.0,,0,0,0,0,0,0,0,460.5
independent,house,0.47,3518.0,Built Up area: 1350 (125.42 sq.m.),1336.0,3.0,4,0,3.0,,Undefined,,sector 4,,1350.0,,0,0,0,0,0,0,0,445.3333333333333
international city by sobha phase 2,house,8.75,24306.0,Plot area 400(334.45 sq.m.),3600.0,5.0,5,3+,3.0,North-East,New Property,,sector 109,,3600.0,,1,1,1,1,0,2,153,720.0
signature global solera,flat,0.36,6581.0,Carpet area: 547 (50.82 sq.m.),547.0,2.0,2,2,8.0,South-East,Relatively New,Z69217290,sector 107,,,547.0,0,0,0,0,0,0,45,273.5
bhawna cghs,flat,3.25,10156.0,Super Built up area 3200(297.29 sq.m.)Carpet area: 3000 sq.ft. (278.71 sq.m.),3200.0,4.0,4,3+,12.0,,Moderately Old,Q68795508,sector 43,3200.0,,3000.0,0,0,0,1,0,2,119,800.0
shree vardhman victoria,flat,1.67,14384.0,Super Built up area 1950(181.16 sq.m.)Carpet area: 1161 sq.ft. (107.86 sq.m.),1161.0,3.0,5,3,5.0,North-East,Moderately Old,S69714046,sector 70,1950.0,,1161.0,0,1,0,0,0,0,108,387.0
sare crescent parc,flat,0.51,4080.0,Super Built up area 1250(116.13 sq.m.),1250.0,3.0,2,2,2.0,North,Relatively New,P69745102,sector 92,1250.0,,,0,0,0,0,0,0,72,416.6666666666667
sare crescent parc,flat,0.5,5000.0,Super Built up area 1000(92.9 sq.m.),1000.0,2.0,2,2,2.0,,Relatively New,E25612167,sector 92,1000.0,,,0,0,0,0,1,0,72,500.0
vatika sovereign park,flat,3.25,9673.0,Super Built up area 3360(312.15 sq.m.),3360.0,4.0,4,3+,2.0,,New Property,J69033378,sector 99,3360.0,,,0,1,0,0,0,0,123,840.0
tulip violet,flat,1.4,8838.0,Super Built up area 1578(146.6 sq.m.),1584.0,3.0,3,2,1.0,North-East,Relatively New,H68277890,sector 69,1578.0,,,0,0,0,0,0,0,95,528.0
the roselia 2,flat,0.45,6475.0,Built Up area: 695 (64.57 sq.m.)Carpet area: 595 sq.ft. (55.28 sq.m.),695.0,2.0,2,2,19.0,North,Undefined,N69442252,sector 95a,,695.0,595.0,0,0,0,0,0,0,0,347.5
la vida by tata housing,flat,1.35,13990.0,Super Built up area 1276(118.54 sq.m.)Built Up area: 1090 sq.ft. (101.26 sq.m.)Carpet area: 965 sq.ft. (89.65 sq.m.),965.0,2.0,2,3,10.0,North-East,New Property,W68450138,sector 113,1276.0,1090.0,965.0,0,0,0,0,0,0,174,482.5
anamika enclave,flat,0.64,6497.0,Super Built up area 1000(92.9 sq.m.),985.0,2.0,2,1,1.0,,New Property,V68650162,sector 15,1000.0,,,0,0,0,0,0,0,0,492.5
zara aavaas,flat,0.4,7030.0,Super Built up area 569(52.86 sq.m.),569.0,2.0,2,1,14.0,,Relatively New,R57419024,sector 104,569.0,,,0,0,0,0,0,0,38,284.5
microtek greenburg,flat,1.93,8446.0,Super Built up area 2285(212.28 sq.m.),2285.0,3.0,4,3,12.0,East,Relatively New,T68746200,sector 86,2285.0,,,0,1,0,0,0,0,72,761.6666666666666
central park resorts,flat,9.3,24926.0,Super Built up area 3931(365.2 sq.m.)Built Up area: 3831 sq.ft. (355.91 sq.m.)Carpet area: 3731 sq.ft. (346.62 sq.m.),3731.0,4.0,4,3+,10.0,North-East,Moderately Old,P68559436,sector 48,3931.0,3831.0,3731.0,1,1,1,1,0,2,67,932.75
experion windchants,flat,2.6,10651.0,Super Built up area 2441(226.78 sq.m.)Built Up area: 1939.03 sq.ft. (180.14 sq.m.),2441.0,2.0,2,3,8.0,North-East,Relatively New,N68670284,sector 112,2441.0,1939.03,,0,0,0,0,0,0,168,1220.5
ansals palam vihar,house,2.68,17213.0,Plot area 173(144.65 sq.m.),1557.0,4.0,3,2,3.0,,Moderately Old,,sector 2,,1557.0,,0,0,1,0,0,2,74,389.25
independent,house,0.63,7875.0,Built Up area: 800 (74.32 sq.m.),800.0,2.0,2,1,2.0,South-East,Old Property,,sector 10,,800.0,,0,0,0,0,1,0,7,400.0
umang monsoon breeze,flat,0.9,4615.0,Super Built up area 1950(181.16 sq.m.)Built Up area: 1900 sq.ft. (176.52 sq.m.)Carpet area: 1854 sq.ft. (172.24 sq.m.),1950.0,3.0,3,2,1.0,,Moderately Old,C68532182,sector 78,1950.0,1900.0,1854.0,0,1,0,1,0,0,65,650.0
independent,house,4.25,31481.0,Plot area 163(136.29 sq.m.)Built Up area: 161 sq.yards (134.62 sq.m.)Carpet area: 150 sq.yards (125.42 sq.m.),1350.0,5.0,5,3+,3.0,East,Relatively New,,sector 27,,161.0,150.0,0,1,0,1,0,2,49,270.0
emaar the palm drive,flat,3.9,18634.0,Built Up area: 2200 (204.39 sq.m.),2093.0,3.0,4,3,2.0,,Relatively New,Y68846782,sector 66,,2200.0,,0,0,0,0,0,0,0,697.6666666666666
signature global city 81,flat,0.89,8279.0,Carpet area: 1075 (99.87 sq.m.),1075.0,2.0,2,2,3.0,North,Under Construction,M68963232,sector 81,,,1075.0,0,0,0,0,1,0,20,537.5
smart world gems,flat,0.95,8903.0,Super Built up area 1067(99.13 sq.m.)Carpet area: 578 sq.ft. (53.7 sq.m.),1067.0,2.0,2,2,1.0,East,Under Construction,S68955390,sector 89,1067.0,,578.0,1,0,0,0,0,0,122,533.5
independent,house,6.46,18889.0,Plot area 380(317.73 sq.m.)Built Up area: 380 sq.yards (317.73 sq.m.)Carpet area: 300 sq.yards (250.84 sq.m.),3420.0,5.0,5,2,3.0,East,Moderately Old,,sector 14,,380.0,300.0,1,1,0,1,0,2,27,684.0
independent,house,1.5,8641.0,Carpet area: 180 (150.5 sq.m.),1736.0,5.0,3,2,2.0,,New Property,,sector 67,,,180.0,0,0,0,0,0,0,0,347.2
kamroon court,flat,2.75,13750.0,Carpet area: 2000 (185.81 sq.m.),2000.0,3.0,4,3+,5.0,North-East,Moderately Old,K69957846,sector 43,,,2000.0,0,1,0,0,1,2,49,666.6666666666666
dlf the ultima,flat,2.28,10842.0,Super Built up area 2103(195.38 sq.m.)Built Up area: 1750 sq.ft. (162.58 sq.m.)Carpet area: 1257 sq.ft. (116.78 sq.m.),2103.0,3.0,3,3+,14.0,East,Relatively New,R69994518,sector 81,2103.0,1750.0,1257.0,0,1,0,0,0,1,49,701.0
independent,house,0.6,6173.0,Plot area 108(90.3 sq.m.),972.0,3.0,3,2,3.0,,Old Property,,sector 21,,972.0,,0,0,0,0,0,0,0,324.0
dlf regal gardens,flat,1.3,7151.0,Super Built up area 1818(168.9 sq.m.)Built Up area: 1700 sq.ft. (157.94 sq.m.)Carpet area: 1400 sq.ft. (130.06 sq.m.),1818.0,3.0,3,3+,7.0,South,Relatively New,L69622936,sector 90,1818.0,1700.0,1400.0,0,0,0,0,0,0,141,606.0
emaar gurgaon greens,flat,1.3,7879.0,Super Built up area 1650(153.29 sq.m.)Carpet area: 1155 sq.ft. (107.3 sq.m.),1650.0,3.0,3,3,7.0,North-East,Relatively New,Q61696670,sector 102,1650.0,,1155.0,0,1,0,0,0,0,93,550.0
sare crescent parc,flat,0.49,4910.0,Carpet area: 998 (92.72 sq.m.),998.0,2.0,2,2,2.0,,Relatively New,M59252680,sector 92,,,998.0,0,0,0,0,0,0,96,499.0
huda,house,3.5,24005.0,Plot area 162(135.45 sq.m.)Built Up area: 161 sq.yards (134.62 sq.m.)Carpet area: 160 sq.yards (133.78 sq.m.),1458.0,3.0,2,3,2.0,East,Moderately Old,,sector 38,,161.0,160.0,0,0,1,0,0,2,85,486.0
spaze privy,flat,3.1,6693.0,Super Built up area 4632(430.33 sq.m.)Carpet area: 2300 sq.ft. (213.68 sq.m.),4632.0,4.0,5,3+,8.0,South,Moderately Old,Z69235626,sector 72,4632.0,,2300.0,1,1,1,1,0,0,136,1158.0
aipl zen residences,flat,1.25,9905.0,Carpet area: 1262 (117.24 sq.m.),1262.0,2.0,2,2,19.0,,New Property,K69422064,sector 70,,,1262.0,0,0,0,0,0,0,42,631.0
signature global park,flat,0.9,8036.0,Built Up area: 1120 (104.05 sq.m.),1120.0,3.0,2,0,2.0,,Under Construction,O68636314,sector 36,,1120.0,,0,0,0,0,0,0,58,373.3333333333333
ats tourmaline,flat,2.1,8124.0,Super Built up area 2585(240.15 sq.m.)Built Up area: 2100 sq.ft. (195.1 sq.m.),2585.0,3.0,4,3+,11.0,South-East,Relatively New,A64232832,sector 109,2585.0,2100.0,,0,1,0,0,0,2,165,861.6666666666666
emaar digihomes,flat,4.0,14870.0,Super Built up area 2588.79(240.51 sq.m.),2690.0,3.0,3,3,18.0,North,New Property,A69582706,sector 62,2588.79,,,0,1,0,0,0,2,38,896.6666666666666
tulip violet,flat,1.55,9823.0,Super Built up area 1578(146.6 sq.m.),1578.0,3.0,3,2,5.0,North-East,Relatively New,H69300358,sector 69,1578.0,,,0,0,0,1,0,0,99,526.0
adani m2k oyster grande,flat,1.95,7561.0,Super Built up area 2579(239.6 sq.m.),2579.0,3.0,4,3,9.0,South,Relatively New,N62010674,sector 102,2579.0,,,1,1,0,0,0,2,83,859.6666666666666
vatika gurgaon,flat,1.1,6162.0,Super Built up area 1785(165.83 sq.m.)Built Up area: 1600 sq.ft. (148.64 sq.m.)Carpet area: 1500 sq.ft. (139.35 sq.m.),1785.0,3.0,3,3+,5.0,North-West,Relatively New,M68325052,sector 83,1785.0,1600.0,1500.0,0,0,0,0,0,2,96,595.0
godrej air,flat,2.6,12212.0,Built Up area: 2129 (197.79 sq.m.),2129.0,3.0,3,3,17.0,,Under Construction,H67904032,sector 85,,2129.0,,0,1,0,0,0,0,44,709.6666666666666
shapoorji pallonji joyville gurugram,flat,1.9,10259.0,Super Built up area 1852(172.06 sq.m.)Built Up area: 1700 sq.ft. (157.94 sq.m.)Carpet area: 1450 sq.ft. (134.71 sq.m.),1852.0,3.0,3,3+,15.0,North-East,New Property,W69505050,sector 102,1852.0,1700.0,1450.0,0,0,0,1,0,0,174,617.3333333333334
emaar gurgaon greens,flat,1.4,8485.0,Super Built up area 1650(153.29 sq.m.)Carpet area: 1022.58 sq.ft. (95 sq.m.),1650.0,3.0,3,3,3.0,East,Relatively New,E69628180,sector 102,1650.0,,1022.58,0,1,0,0,0,0,60,550.0
independent,house,0.58,9619.0,Plot area 67(6.22 sq.m.),603.0,2.0,2,1,2.0,West,Moderately Old,,sector 105,,67.0,,0,0,0,1,1,0,7,301.5
tarc maceo,flat,0.87,6641.0,Super Built up area 1310(121.7 sq.m.)Carpet area: 1000 sq.ft. (92.9 sq.m.),1310.0,2.0,2,2,9.0,North-West,Relatively New,Y68626474,sector 91,1310.0,,1000.0,0,0,1,0,0,0,78,655.0
independent,house,1.55,14720.0,Plot area 117(97.83 sq.m.),1053.0,2.0,3,2,1.0,North,New Property,,sohna,,1053.0,,1,0,0,1,0,2,49,526.5
bptp terra,flat,1.72,7850.0,Super Built up area 2191(203.55 sq.m.),2191.0,3.0,3,3+,10.0,South-East,Relatively New,C69177914,sector 37,2191.0,,,0,1,0,0,0,0,31,730.3333333333334
independent,house,3.5,24155.0,Plot area 161(134.62 sq.m.),1449.0,4.0,4,3,2.0,North-East,Old Property,,sector 31,,1449.0,,0,0,1,0,0,2,70,362.25
shree vardhman victoria,flat,1.65,8462.0,Super Built up area 1950(181.16 sq.m.)Carpet area: 1267 sq.ft. (117.71 sq.m.),1950.0,3.0,4,3,1.0,North,Relatively New,X69647784,sector 70,1950.0,,1267.0,0,1,0,0,0,1,167,650.0
bestech park view city,flat,3.0,12589.0,Super Built up area 2383(221.39 sq.m.)Built Up area: 2200 sq.ft. (204.39 sq.m.)Carpet area: 2000 sq.ft. (185.81 sq.m.),2383.0,4.0,4,3,5.0,North-East,Moderately Old,L69627884,sector 49,2383.0,2200.0,2000.0,0,1,0,1,0,2,141,595.75
ansal sushant lok,house,10.5,27911.0,Plot area 418(349.5 sq.m.),3762.0,4.0,4,2,,North-East,Old Property,,sector 43,,3762.0,,0,1,0,0,0,0,59,940.5
dlf the ultima,flat,2.21,10366.0,Super Built up area 2132(198.07 sq.m.)Carpet area: 1650 sq.ft. (153.29 sq.m.),2132.0,3.0,3,3+,3.0,South,Relatively New,T69183570,sector 81,2132.0,,1650.0,0,1,0,0,0,1,149,710.6666666666666
the lions cghs,flat,2.05,8542.0,Carpet area: 2400 (222.97 sq.m.),2400.0,4.0,4,3+,8.0,West,Moderately Old,G70154506,sector 56,,,2400.0,0,0,0,0,0,2,49,600.0
godrej icon,flat,1.31,8101.0,Super Built up area 1617(150.22 sq.m.),1617.0,2.0,2,3+,3.0,North-West,Relatively New,S69145532,sector 88a,1617.0,,,1,0,0,0,0,0,102,808.5
sobha city,flat,3.95,16859.0,Super Built up area 2343(217.67 sq.m.)Carpet area: 1512 sq.ft. (140.47 sq.m.),2343.0,3.0,4,2,15.0,West,Relatively New,G70104780,sector 108,2343.0,,1512.0,0,1,0,0,0,0,49,781.0
antriksh heights,flat,0.85,5556.0,Super Built up area 1350(125.42 sq.m.),1530.0,2.0,2,3,10.0,North-West,New Property,B36786459,sector 84,1350.0,,,1,0,0,0,1,0,24,765.0
indiabulls centrum park,flat,2.2,7652.0,Super Built up area 2875(267.1 sq.m.),2875.0,4.0,6,3+,4.0,North-East,Relatively New,S69128976,sector 103,2875.0,,,0,1,0,0,0,2,108,718.75
ansal heights 86,flat,0.82,6029.0,Super Built up area 1360(126.35 sq.m.)Built Up area: 1300 sq.ft. (120.77 sq.m.)Carpet area: 1000 sq.ft. (92.9 sq.m.),1360.0,2.0,2,1,12.0,,New Property,E63659868,sector 86,1360.0,1300.0,1000.0,0,0,0,0,0,0,49,680.0
emaar palm premier,flat,2.1,10500.0,Super Built up area 2000(185.81 sq.m.)Built Up area: 1600 sq.ft. (148.64 sq.m.)Carpet area: 1500 sq.ft. (139.35 sq.m.),2000.0,3.0,4,3+,11.0,,New Property,T68605618,sector 77,2000.0,1600.0,1500.0,0,1,0,0,0,2,129,666.6666666666666
pyramid elite,flat,0.45,7840.0,Carpet area: 573.54 (53.28 sq.m.),574.0,2.0,2,1,12.0,,Under Construction,Y62774964,sector 86,,,573.500592,0,0,0,0,0,0,30,287.0
sare crescent parc,flat,0.71,4934.0,Carpet area: 1436 (133.41 sq.m.),1439.0,3.0,3,2,6.0,,Relatively New,R70040812,sector 92,,,1436.0,0,0,0,0,0,0,37,479.6666666666667
dhoot time residency,flat,3.0,18270.0,Built Up area: 1642 (152.55 sq.m.)Carpet area: 1500 sq.ft. (139.35 sq.m.),1642.0,3.0,3,3+,14.0,,Relatively New,P69192318,sector 63,,1642.0,1500.0,0,1,0,0,0,2,0,547.3333333333334
independent,house,1.15,3285.0,Carpet area: 3500 (325.16 sq.m.),3501.0,3.0,2,1,1.0,,Undefined,,sector 105,,,3500.0,0,0,0,0,0,0,0,1167.0
ireo skyon,flat,3.05,12788.0,Super Built up area 2385(221.57 sq.m.)Built Up area: 2300 sq.ft. (213.68 sq.m.)Carpet area: 2200 sq.ft. (204.39 sq.m.),2385.0,3.0,3,3,9.0,South-East,Relatively New,O69439788,sector 60,2385.0,2300.0,2200.0,0,1,0,0,0,2,165,795.0
chintels paradiso,flat,1.97,7490.0,Super Built up area 2630(244.33 sq.m.),2630.0,4.0,4,2,11.0,North-East,Relatively New,T57249640,sector 109,2630.0,,,0,1,0,1,0,0,49,657.5
vipul tatvam villa,house,8.5,26235.0,Plot area 360(301.01 sq.m.),3240.0,4.0,4,2,,East,Moderately Old,,sector 48,,3240.0,,0,1,1,1,0,0,88,810.0
bptp visionnaire,house,5.25,20115.0,Plot area 290(242.48 sq.m.),2610.0,5.0,4,3+,3.0,North-East,New Property,,sector 70,,2610.0,,0,1,0,0,0,2,49,522.0
smart world orchard,flat,1.57,13652.0,Built Up area: 1150 (106.84 sq.m.),1150.0,2.0,2,2,3.0,,New Property,Z66719878,sector 61,,1150.0,,1,0,0,0,1,0,71,575.0
bptp terra,flat,1.5,8255.0,Super Built up area 1811(168.25 sq.m.)Carpet area: 1560 sq.ft. (144.93 sq.m.),1817.0,3.0,3,3,12.0,South-West,Relatively New,G70022990,sector 37,1811.0,,1560.0,0,0,0,0,1,0,49,605.6666666666666
