society,property_type,price,price_per_sqft,areaWithType,area,bedRoom,bathroom,balcony,floorNum,facing,agePossession,property_id,sector,super_built_up_area,built_up_area,carpet_area,study room,servant room,store room,pooja room,others,furnishing_type,luxury_score,area_room_ratio
hsiidc sidco shivalik apartments,flat,0.48,3840.0,Super Built up area 1250(116.13 sq.m.)Carpet area: 770 sq.ft. (71.54 sq.m.),1250.0,2.0,2,3,7.0,South,Moderately Old,G70129192,sector 1,1250.0,,770.0,0,0,0,0,0,0,88,625.0
godrej frontier,flat,1.1,5705.0,Super Built up area 1928(179.12 sq.m.)Built Up area: 1580 sq.ft. (146.79 sq.m.)Carpet area: 1391 sq.ft. (129.23 sq.m.),1928.0,3.0,3,3,8.0,North-West,Moderately Old,Q69444740,sector 80,1928.0,1580.0,1391.0,0,1,0,0,0,0,111,642.6666666666666
signature global solera,flat,0.27,5521.0,Carpet area: 489 (45.43 sq.m.),489.0,2.0,2,2,0.0,North-East,Relatively New,X69217210,sector 107,,,489.0,0,0,0,0,0,0,45,244.5
independent,house,0.07,2527.0,Plot area 33(27.59 sq.m.),277.0,1.0,1,0,1.0,,Relatively New,,sohna,,33.0,,0,0,0,0,0,0,0,277.0
professors enclave cghs,flat,1.55,7750.0,Super Built up area 2000(185.81 sq.m.),2000.0,3.0,3,3+,6.0,East,Moderately Old,E68625668,sector 56,2000.0,,,0,1,0,0,0,2,49,666.6666666666666
godrej air,flat,1.83,10005.0,Carpet area: 1829 (169.92 sq.m.),1829.0,3.0,3,3+,18.0,,Under Construction,I68755244,sector 85,,,1829.0,0,0,0,0,0,0,110,609.6666666666666
emaar mgf marbella,house,18.0,40000.0,Plot area 500(418.06 sq.m.),4500.0,5.0,6,3+,3.0,North-East,Relatively New,,sector 66,,4500.0,,1,1,1,1,0,1,153,900.0
experion the heartsong,flat,1.55,7738.0,Super Built up area 2003(186.08 sq.m.)Built Up area: 1750 sq.ft. (162.58 sq.m.)Carpet area: 1550 sq.ft. (144 sq.m.),2003.0,3.0,3,3+,7.0,North-East,Relatively New,J69625416,sector 108,2003.0,1750.0,1550.0,0,1,0,1,0,2,174,667.6666666666666
pioneer araya,flat,9.95,20996.0,Super Built up area 4739(440.27 sq.m.)Carpet area: 3219 sq.ft. (299.05 sq.m.),4739.0,4.0,6,3,12.0,South-East,Relatively New,X69844094,sector 62,4739.0,,3219.0,0,1,0,1,0,2,138,1184.75
pareena coban residences,flat,1.08,6626.0,Super Built up area 1997(185.53 sq.m.)Built Up area: 1750 sq.ft. (162.58 sq.m.)Carpet area: 1630 sq.ft. (151.43 sq.m.),1630.0,3.0,5,3,2.0,West,Relatively New,Q69102728,sector 99a,1997.0,1750.0,1630.0,0,1,0,0,1,0,49,543.3333333333334
pivotal devaan,flat,0.35,6003.0,Super Built up area 583(54.16 sq.m.),583.0,2.0,2,1,4.0,East,Relatively New,S70177248,sector 84,583.0,,,0,0,0,0,0,0,37,291.5
assotech blith,flat,1.15,6594.0,Super Built up area 1365(126.81 sq.m.),1744.0,2.0,2,2,2.0,,New Property,M48650859,sector 99,1365.0,,,0,0,0,0,1,2,72,872.0
tulip lemon,flat,0.62,12863.0,Carpet area: 482 (44.78 sq.m.),482.0,2.0,2,1,4.0,North-East,Relatively New,L69568872,sector 69,,,482.0,0,0,0,0,0,2,108,241.0
smart world gems,flat,1.3,9136.0,Carpet area: 1423 (132.2 sq.m.),1423.0,3.0,3,2,2.0,,New Property,X66582760,sector 89,,,1423.0,1,0,0,0,0,0,44,474.3333333333333
independent,house,5.0,22222.0,Plot area 250(209.03 sq.m.),2250.0,3.0,3,3,1.0,South,Moderately Old,,sector 14,,2250.0,,0,0,0,0,0,0,25,750.0
independent,house,2.25,2778.0,Plot area 100(83.61 sq.m.),8100.0,6.0,3,3+,3.0,North-West,Relatively New,,sector 51,,900.0,,0,0,0,0,0,0,54,1350.0
signature global orchard avenue,flat,0.85,14238.0,Built Up area: 597 (55.46 sq.m.),597.0,2.0,2,0,10.0,,Undefined,K69125930,sector 93,,597.0,,0,0,0,0,0,0,0,298.5
